open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,26.039,26.042,25.915,25.925,10614.70,1648425659999,275718.51766,540,1023.45,26576.98586,0
1648425660000,25.919,25.987,25.910,25.978,2828.97,1648425719999,73390.66551,264,786.61,20422.70945,0
1648425720000,25.979,26.036,25.979,26.000,1842.73,1648425779999,47938.35149,220,1270.23,33044.73738,0
1648425780000,26.004,26.006,25.935,25.935,3736.34,1648425839999,97059.05059,190,531.57,13811.68159,0
1648425840000,25.935,25.962,25.904,25.904,1261.14,1648425899999,32706.35932,172,921.58,23905.23309,0
1648425900000,25.913,25.953,25.896,25.897,4195.64,1648425959999,108763.58612,398,2379.52,61707.16220,0
1648425960000,25.897,25.928,25.883,25.891,2234.92,1648426019999,57894.93404,323,1730.89,44842.06563,0
1648426020000,25.887,25.895,25.850,25.869,2126.29,1648426079999,55017.55664,193,567.10,14671.57840,0
1648426080000,25.871,25.932,25.871,25.912,1534.42,1648426139999,39749.92269,238,1151.15,29822.49154,0
1648426140000,25.913,25.964,25.913,25.932,733.22,1648426199999,19021.80435,125,549.48,14255.95749,0
1648426200000,25.931,26.074,25.918,26.039,4703.33,1648426259999,122257.65643,442,3773.79,98092.29353,0
1648426260000,26.044,26.097,26.000,26.061,5835.77,1648426319999,152038.21413,521,4047.36,105456.89344,0
1648426320000,26.060,26.078,26.017,26.017,1721.94,1648426379999,44856.76395,182,673.61,17555.46398,0
1648426380000,26.015,26.019,25.954,25.958,2482.70,1648426439999,64527.67504,178,373.92,9718.66593,0
1648426440000,25.964,25.990,25.964,25.973,424.62,1648426499999,11028.96760,73,333.10,8651.29285,0
1648426500000,25.973,25.977,25.890,25.917,4408.76,1648426559999,114403.99470,245,675.77,17522.08980,0
1648426560000,25.919,25.950,25.894,25.894,4346.28,1648426619999,112667.00409,223,1279.68,33178.51813,0
1648426620000,25.906,25.945,25.880,25.940,1669.50,1648426679999,43238.54174,170,654.64,16963.01562,0
1648426680000,25.941,25.980,25.918,25.946,1704.42,1648426739999,44231.94978,177,1335.51,34660.53852,0
1648426740000,25.946,25.992,25.946,25.980,992.51,1648426799999,25769.97423,142,448.50,11647.57603,0
1648426800000,25.980,26.036,25.977,26.035,3111.49,1648426859999,80931.31229,151,3008.23,78247.82864,0
1648426860000,26.035,26.085,26.022,26.080,1578.09,1648426919999,41117.95894,197,666.24,17366.23498,0
1648426920000,26.079,26.087,26.070,26.073,229.73,1648426979999,5991.03176,75,119.25,3110.07999,0
1648426980000,26.073,26.102,26.072,26.089,1013.23,1648427039999,26436.20527,143,880.78,22980.77905,0
1648427040000,26.086,26.114,26.075,26.099,2213.84,1648427099999,57785.81614,178,1008.55,26323.75804,0
1648427100000,26.096,26.156,26.093,26.151,1956.47,1648427159999,51120.93639,212,1684.81,44022.13768,0
1648427160000,26.151,26.163,26.122,26.150,1351.95,1648427219999,35344.82540,158,442.28,11560.56454,0
1648427220000,26.132,26.167,26.132,26.158,2405.42,1648427279999,62911.98313,169,2103.20,55008.68396,0
1648427280000,26.157,26.172,26.150,26.171,547.04,1648427339999,14311.34141,83,483.61,12652.18925,0
1648427340000,26.171,26.201,26.166,26.194,941.82,1648427399999,24663.43367,163,643.80,16860.87608,0
1648427400000,26.194,26.240,26.194,26.229,3745.04,1648427459999,98186.01092,311,2912.09,76341.14810,0
1648427460000,26.230,26.253,26.230,26.245,2121.74,1648427519999,55675.70399,214,1030.79,27053.00692,0
1648427520000,26.248,26.311,26.216,26.297,4712.00,1648427579999,123777.52260,539,2517.00,66120.09395,0
1648427580000,26.296,26.370,26.287,26.370,2223.96,1648427639999,58536.79064,339,1461.58,38478.28991,0
1648427640000,26.369,26.459,26.226,26.251,9333.19,1648427699999,246062.86832,960,4569.36,120589.00495,0
1648427700000,26.245,26.358,26.229,26.313,3231.30,1648427759999,84932.91494,475,1641.21,43144.74589,0
1648427760000,26.318,26.402,26.313,26.395,2599.93,1648427819999,68541.70861,445,1844.82,48636.25645,0
1648427820000,26.397,26.407,26.361,26.392,1352.57,1648427879999,35689.04883,268,531.70,14030.97405,0
1648427880000,26.393,26.407,26.288,26.288,1612.40,1648427939999,42487.03300,167,340.84,8980.73944,0
1648427940000,26.288,26.303,26.258,26.272,1327.69,1648427999999,34891.66369,184,416.82,10953.99012,0
1648428000000,26.262,26.322,26.251,26.290,1837.33,1648428059999,48280.64112,206,964.12,25341.44171,0
1648428060000,26.293,26.293,26.226,26.227,2605.63,1648428119999,68381.16730,184,337.41,8862.40991,0
1648428120000,26.236,26.243,26.124,26.167,4620.08,1648428179999,120931.32494,408,1189.94,31138.39710,0
1648428180000,26.171,26.195,26.125,26.129,2340.92,1648428239999,61232.65946,250,603.89,15799.88657,0
1648428240000,26.128,26.129,26.063,26.100,3264.25,1648428299999,85175.24595,322,677.87,17687.58746,0
1648428300000,26.100,26.123,25.954,26.015,8139.55,1648428359999,211804.24137,597,1775.91,46236.53035,0
1648428360000,26.026,26.072,26.018,26.038,2744.54,1648428419999,71471.85763,317,1621.35,42226.48932,0
1648428420000,26.038,26.058,26.019,26.048,1418.17,1648428479999,36925.84912,167,437.58,11394.62096,0
1648428480000,26.048,26.064,26.032,26.063,750.95,1648428539999,19563.00435,105,177.53,4624.97617,0
1648428540000,26.064,26.069,26.003,26.023,569.18,1648428599999,14816.49113,101,305.70,7955.03427,0
1648428600000,26.028,26.031,25.940,25.980,1680.86,1648428659999,43654.26427,222,466.44,12111.30780,0
1648428660000,25.972,26.010,25.968,26.009,1163.15,1648428719999,30224.78615,157,579.48,15063.13492,0
1648428720000,26.003,26.011,25.991,26.011,256.10,1648428779999,6658.46631,80,71.52,1859.70568,0
1648428780000,26.004,26.004,25.968,25.990,1662.07,1648428839999,43203.98652,148,1164.45,30269.90599,0
1648428840000,25.985,25.995,25.957,25.967,756.14,1648428899999,19635.50548,108,201.56,5235.42046,0
1648428900000,25.967,25.987,25.951,25.951,694.46,1648428959999,18035.03380,87,338.67,8796.25055,0
1648428960000,25.951,25.962,25.920,25.960,2523.54,1648429019999,65455.07945,253,840.52,21808.72057,0
1648429020000,25.957,25.992,25.957,25.977,1811.34,1648429079999,47060.75060,174,1709.70,44420.61049,0
1648429080000,25.977,25.988,25.941,25.988,632.14,1648429139999,16412.65498,109,270.59,7028.27891,0
1648429140000,25.991,26.004,25.973,25.980,618.64,1648429199999,16080.84212,91,316.06,8215.83106,0
1648429200000,25.980,26.008,25.963,25.963,720.90,1648429259999,18734.29316,120,435.78,11324.12398,0
1648429260000,25.963,25.979,25.937,25.947,756.72,1648429319999,19638.56083,154,211.14,5480.28708,0
1648429320000,25.948,25.985,25.940,25.976,1098.59,1648429379999,28523.44193,156,753.18,19553.40486,0
1648429380000,25.963,25.987,25.957,25.957,420.47,1648429439999,10920.28921,106,105.69,2744.70808,0
1648429440000,25.958,25.979,25.953,25.954,646.79,1648429499999,16792.13396,106,43.65,1133.51967,0
1648429500000,25.954,25.967,25.941,25.954,451.82,1648429559999,11725.17360,115,146.34,3798.23500,0
1648429560000,25.951,25.974,25.939,25.964,639.93,1648429619999,16606.24985,134,93.64,2430.72056,0
1648429620000,25.964,25.964,25.930,25.939,589.79,1648429679999,15302.74306,130,164.65,4271.29286,0
1648429680000,25.939,26.018,25.939,25.976,990.89,1648429739999,25754.24787,141,849.91,22089.31063,0
1648429740000,25.977,25.996,25.975,25.975,544.70,1648429799999,14154.08096,91,348.21,9049.21242,0
1648429800000,25.975,26.007,25.953,26.007,1043.20,1648429859999,27096.37149,155,586.84,15247.64746,0
1648429860000,26.010,26.017,25.991,26.010,385.32,1648429919999,10020.03114,105,184.22,4790.85013,0
1648429920000,26.006,26.017,25.998,26.009,155.86,1648429979999,4053.23207,89,83.97,2183.83151,0
1648429980000,25.999,26.050,25.999,26.050,655.25,1648430039999,17053.01100,107,573.43,14924.57858,0
1648430040000,26.052,26.062,26.037,26.049,378.44,1648430099999,9859.29876,101,190.94,4974.84557,0
1648430100000,26.048,26.076,26.041,26.051,374.06,1648430159999,9748.46217,104,247.33,6446.74057,0
1648430160000,26.050,26.069,26.044,26.051,634.18,1648430219999,16520.76033,119,219.17,5710.38693,0
