open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.25144,0.25177,0.25026,0.25160,232372,1648512059999,58368.90562,262,129141,32439.51370,0
1648512060000,0.25160,0.25169,0.25082,0.25169,105810,1648512119999,26582.76874,150,76967,19334.89442,0
1648512120000,0.25156,0.25233,0.25139,0.25146,269517,1648512179999,67906.72561,263,208717,52601.67626,0
1648512180000,0.25150,0.25200,0.25096,0.25196,110276,1648512239999,27712.70065,154,72172,18131.26016,0
1648512240000,0.25199,0.25209,0.25156,0.25164,119308,1648512299999,30038.94579,146,81484,20514.89741,0
1648512300000,0.25169,0.25190,0.25136,0.25162,103726,1648512359999,26099.12965,105,24397,6139.11087,0
1648512360000,0.25171,0.25192,0.25059,0.25179,394615,1648512419999,99177.78978,281,274601,69023.38268,0
1648512420000,0.25179,0.25241,0.25144,0.25144,96764,1648512479999,24391.16939,115,68824,17350.39408,0
1648512480000,0.25147,0.25300,0.25129,0.25290,119737,1648512539999,30211.39143,172,64205,16196.83016,0
1648512540000,0.25280,0.25338,0.25280,0.25296,70410,1648512599999,17816.52913,118,50948,12891.48714,0
1648512600000,0.25297,0.25339,0.25276,0.25294,116347,1648512659999,29440.91425,119,83255,21068.21693,0
1648512660000,0.25291,0.25304,0.25232,0.25288,213349,1648512719999,53912.56291,175,99361,25114.27513,0
1648512720000,0.25294,0.25307,0.25245,0.25263,44964,1648512779999,11364.39910,76,15320,3870.43232,0
1648512780000,0.25271,0.25283,0.25223,0.25256,68092,1648512839999,17194.19073,69,24689,6235.28637,0
1648512840000,0.25249,0.25277,0.25183,0.25277,70313,1648512899999,17745.33993,68,31731,8008.63411,0
1648512900000,0.25272,0.25329,0.25192,0.25322,120180,1648512959999,30350.88806,124,48260,12192.70974,0
1648512960000,0.25322,0.25363,0.25289,0.25358,144415,1648513019999,36568.56247,208,77842,19717.12296,0
1648513020000,0.25358,0.25364,0.25241,0.25276,125557,1648513079999,31762.75488,140,68783,17404.02838,0
1648513080000,0.25288,0.25324,0.25230,0.25305,63819,1648513139999,16135.35281,90,44938,11366.77164,0
1648513140000,0.25286,0.25328,0.25274,0.25318,57378,1648513199999,14522.71661,83,41253,10442.14048,0
1648513200000,0.25312,0.25316,0.25204,0.25234,56744,1648513259999,14332.27097,70,2142,541.02176,0
1648513260000,0.25227,0.25333,0.25227,0.25325,69869,1648513319999,17676.11798,83,52575,13301.09872,0
1648513320000,0.25335,0.25357,0.25304,0.25326,33668,1648513379999,8530.48419,63,11732,2973.39247,0
1648513380000,0.25327,0.25335,0.25312,0.25322,21477,1648513439999,5439.07416,46,4426,1120.92955,0
1648513440000,0.25321,0.25392,0.25316,0.25381,29598,1648513499999,7509.53836,52,12221,3101.06960,0
