open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,8.875,8.878,8.840,8.844,12714.0,1648684859999,112675.9673,163,2635.8,23353.3876,0
1648684860000,8.843,8.857,8.831,8.840,6529.6,1648684919999,57739.7051,185,3689.2,32630.3237,0
1648684920000,8.842,8.851,8.831,8.835,8306.6,1648684979999,73445.0231,197,3771.9,33348.8057,0
1648684980000,8.833,8.848,8.830,8.837,5697.5,1648685039999,50354.4863,157,2301.5,20341.5294,0
1648685040000,8.840,8.840,8.818,8.827,8814.6,1648685099999,77810.3398,272,2824.9,24938.7926,0
1648685100000,8.827,8.828,8.814,8.824,6795.0,1648685159999,59930.6288,180,3148.0,27768.2523,0
1648685160000,8.824,8.826,8.804,8.813,8291.1,1648685219999,73080.4843,211,3109.3,27410.1673,0
1648685220000,8.814,8.825,8.802,8.825,16906.3,1648685279999,148963.6065,336,7961.1,70148.7353,0
1648685280000,8.827,8.857,8.826,8.854,14235.0,1648685339999,125870.0066,293,8443.5,74681.4369,0
1648685340000,8.853,8.871,8.845,8.871,9293.9,1648685399999,82294.8998,240,5997.6,53119.0254,0
1648685400000,8.872,8.896,8.870,8.893,7440.1,1648685459999,66102.9050,248,4839.9,43001.0387,0
1648685460000,8.894,8.931,8.885,8.927,16007.6,1648685519999,142690.2631,480,10096.7,89982.7533,0
1648685520000,8.927,8.967,8.927,8.949,38898.5,1648685579999,347972.9737,798,22479.3,201079.8902,0
1648685580000,8.949,8.986,8.934,8.967,37418.1,1648685639999,335350.0133,622,25413.8,227900.1137,0
1648685640000,8.967,8.977,8.937,8.968,14543.5,1648685699999,130221.1416,289,7224.9,64709.5598,0
1648685700000,8.960,9.007,8.954,8.966,36518.1,1648685759999,328291.2487,590,13032.1,117094.9043,0
1648685760000,8.965,9.003,8.957,8.996,17859.5,1648685819999,160361.7482,355,7310.7,65706.3371,0
1648685820000,8.996,9.002,8.959,8.996,17898.2,1648685879999,160768.2043,355,6680.0,60014.9729,0
1648685880000,8.992,9.000,8.973,8.982,31799.3,1648685939999,285804.6721,509,19058.5,171316.3708,0
1648685940000,8.982,9.055,8.971,9.045,40217.8,1648685999999,362973.1561,707,25730.2,232287.1321,0
1648686000000,9.045,9.075,9.019,9.050,31761.7,1648686059999,287517.5122,656,16156.1,146278.1684,0
1648686060000,9.049,9.121,9.043,9.086,72814.5,1648686119999,661842.1285,1547,42969.9,390442.9290,0
1648686120000,9.086,9.109,9.037,9.046,29264.7,1648686179999,265673.6160,662,16026.2,145576.1130,0
1648686180000,9.049,9.086,9.035,9.043,27479.3,1648686239999,248814.6363,442,13515.2,122445.5176,0
1648686240000,9.041,9.050,9.026,9.045,10155.7,1648686299999,91763.3776,277,5022.5,45383.8913,0
1648686300000,9.047,9.048,9.020,9.021,10921.3,1648686359999,98634.3228,285,3535.6,31936.6732,0
1648686360000,9.020,9.091,9.015,9.089,14052.2,1648686419999,127104.0350,365,11889.3,107548.3509,0
1648686420000,9.086,9.148,9.080,9.111,38161.7,1648686479999,347815.6197,955,23464.8,213907.2040,0
1648686480000,9.111,9.111,9.074,9.075,13267.2,1648686539999,120583.0430,350,6026.6,54758.5234,0
1648686540000,9.074,9.138,9.074,9.124,27213.7,1648686599999,247932.1715,635,18763.3,170853.6405,0
1648686600000,9.124,9.189,9.072,9.072,65422.8,1648686659999,597849.8006,1432,29814.0,272951.3615,0
1648686660000,9.073,9.102,9.070,9.083,20431.6,1648686719999,185706.4050,531,11744.7,106761.2764,0
1648686720000,9.084,9.085,9.069,9.072,10919.9,1648686779999,99118.9927,272,6450.4,58562.0534,0
1648686780000,9.072,9.075,8.951,8.991,100214.3,1648686839999,902279.5293,2315,34055.9,306507.2625,0
1648686840000,8.994,9.019,8.927,8.966,66738.8,1648686899999,598105.6814,1671,27719.7,248550.9392,0
1648686900000,8.967,9.042,8.967,9.033,35687.7,1648686959999,321331.5759,692,22331.8,201035.8366,0
1648686960000,9.036,9.114,9.017,9.071,31027.5,1648687019999,281338.1176,763,17153.3,155629.3646,0
1648687020000,9.069,9.084,9.042,9.065,10028.8,1648687079999,90951.2301,285,5952.9,54004.6900,0
1648687080000,9.066,9.160,9.059,9.151,79521.1,1648687139999,724502.4901,1765,45111.7,411011.6100,0
1648687140000,9.150,9.156,9.092,9.097,49393.7,1648687199999,450504.5679,868,22675.0,206871.4656,0
1648687200000,9.095,9.127,9.084,9.117,15250.1,1648687259999,138914.4561,373,10300.2,93844.7731,0
1648687260000,9.117,9.151,9.113,9.126,17753.5,1648687319999,162024.4160,365,8730.8,79686.8873,0
1648687320000,9.125,9.151,9.087,9.105,16293.3,1648687379999,148760.1181,408,9754.1,89106.4556,0
1648687380000,9.099,9.137,9.092,9.127,18983.1,1648687439999,173148.9920,389,8608.4,78503.0224,0
1648687440000,9.120,9.176,9.118,9.148,21844.2,1648687499999,199943.2510,626,15864.0,145206.2689,0
1648687500000,9.148,9.148,9.093,9.098,35592.0,1648687559999,324503.0937,657,12029.7,109657.4746,0
1648687560000,9.098,9.099,9.070,9.081,12044.5,1648687619999,109384.8568,321,3995.3,36288.2368,0
1648687620000,9.081,9.096,9.053,9.079,15423.4,1648687679999,139874.0743,349,2055.8,18655.9665,0
1648687680000,9.080,9.080,9.068,9.071,3282.1,1648687739999,29782.4927,119,1811.0,16432.1033,0
1648687740000,9.071,9.095,9.059,9.094,8073.6,1648687799999,73232.1903,233,5520.5,50069.6296,0
1648687800000,9.093,9.093,9.056,9.082,24599.6,1648687859999,223145.5538,471,5558.2,50410.2401,0
1648687860000,9.082,9.082,9.069,9.072,1862.3,1648687919999,16897.4542,95,1458.5,13231.7965,0
1648687920000,9.072,9.085,9.063,9.069,4921.3,1648687979999,44658.4682,191,3754.2,34066.2175,0
1648687980000,9.068,9.082,9.060,9.074,8445.2,1648688039999,76587.1022,179,7412.2,67216.9619,0
1648688040000,9.073,9.077,9.049,9.056,5989.8,1648688099999,54276.8223,153,2068.3,18755.3107,0
1648688100000,9.055,9.058,9.046,9.051,2501.1,1648688159999,22636.9175,94,1509.2,13660.4515,0
1648688160000,9.049,9.049,9.011,9.029,11725.0,1648688219999,105815.4879,329,4267.0,38506.8330,0
1648688220000,9.030,9.042,9.029,9.040,4668.5,1648688279999,42182.3731,144,2415.3,21824.0897,0
1648688280000,9.036,9.066,9.035,9.064,6205.4,1648688339999,56147.8427,191,4457.1,40330.3605,0
1648688340000,9.066,9.066,9.052,9.057,6055.1,1648688399999,54830.3046,146,5014.5,45403.8293,0
1648688400000,9.056,9.066,9.053,9.057,3962.3,1648688459999,35892.4311,166,1897.5,17187.8991,0
1648688460000,9.057,9.069,9.048,9.063,10004.4,1648688519999,90611.4522,230,5599.1,50715.0492,0
1648688520000,9.062,9.063,9.044,9.047,6775.5,1648688579999,61369.0096,172,3436.7,31133.7735,0
1648688580000,9.046,9.050,9.029,9.037,5762.5,1648688639999,52093.5233,187,3269.6,29562.6292,0
1648688640000,9.038,9.040,9.022,9.023,5297.3,1648688699999,47837.1639,152,1197.4,10814.6928,0
1648688700000,9.024,9.050,9.019,9.042,7940.1,1648688759999,71705.1456,229,4516.0,40786.5797,0
1648688760000,9.044,9.049,9.041,9.043,1429.5,1648688819999,12930.7036,77,614.4,5557.7412,0
1648688820000,9.045,9.061,9.045,9.061,2100.5,1648688879999,19008.7200,79,1261.2,11413.8616,0
1648688880000,9.062,9.086,9.060,9.076,8999.6,1648688939999,81637.0713,190,7001.9,63524.8821,0
1648688940000,9.076,9.088,9.072,9.087,2678.1,1648688999999,24321.8614,105,1461.2,13269.5621,0
1648689000000,9.087,9.087,9.065,9.077,10442.1,1648689059999,94771.1068,181,6405.1,58123.1329,0
1648689060000,9.076,9.088,9.069,9.073,5646.6,1648689119999,51257.4712,142,705.8,6409.2750,0
1648689120000,9.074,9.077,9.062,9.069,5553.9,1648689179999,50377.5762,138,4244.4,38497.5940,0
1648689180000,9.074,9.090,9.072,9.088,2827.9,1648689239999,25687.2760,97,1318.4,11976.1133,0
1648689240000,9.089,9.094,9.082,9.090,5433.9,1648689299999,49376.9305,160,1590.3,14456.6526,0
1648689300000,9.090,9.096,9.081,9.096,5724.6,1648689359999,52032.0247,160,3450.0,31359.9389,0
1648689360000,9.097,9.100,9.077,9.077,7169.8,1648689419999,65160.4573,219,3185.6,28947.7257,0
1648689420000,9.078,9.083,9.069,9.074,6048.1,1648689479999,54879.8793,137,1023.4,9287.6100,0
1648689480000,9.074,9.089,9.066,9.066,6387.7,1648689539999,57987.8250,151,3000.2,27239.8986,0
1648689540000,9.065,9.070,9.042,9.070,23165.5,1648689599999,209834.1145,405,12880.3,116704.8124,0
1648689600000,9.070,9.073,9.059,9.063,4804.8,1648689659999,43562.3682,212,1680.7,15239.4154,0
1648689660000,9.067,9.067,9.055,9.062,5638.1,1648689719999,51085.7184,132,2932.7,26576.4839,0
1648689720000,9.061,9.065,9.053,9.056,4602.4,1648689779999,41687.0373,147,1892.6,17141.6239,0
1648689780000,9.054,9.069,9.054,9.066,1881.4,1648689839999,17055.2099,95,786.7,7131.9972,0
1648689840000,9.068,9.068,9.049,9.056,6594.5,1648689899999,59732.2484,207,1460.2,13222.1528,0
1648689900000,9.055,9.060,9.050,9.054,1905.5,1648689959999,17254.2454,82,758.3,6866.5582,0
1648689960000,9.053,9.053,9.037,9.051,2458.6,1648690019999,22242.7525,96,1364.0,12340.6596,0
1648690020000,9.050,9.059,9.042,9.051,4637.2,1648690079999,41964.5486,124,3163.8,28627.5124,0
1648690080000,9.051,9.060,9.049,9.058,1446.7,1648690139999,13099.0525,92,667.6,6044.7404,0
1648690140000,9.059,9.078,9.059,9.072,10086.7,1648690199999,91485.0829,222,6046.1,54845.6381,0
1648690200000,9.070,9.078,9.055,9.061,9695.5,1648690259999,87932.6859,228,3885.6,35236.7466,0
1648690260000,9.063,9.064,9.046,9.048,4256.8,1648690319999,38537.8778,131,1324.2,11991.7437,0
1648690320000,9.049,9.050,9.033,9.048,12325.8,1648690379999,111429.3622,259,4439.7,40141.2778,0
1648690380000,9.048,9.073,9.048,9.073,7918.7,1648690439999,71767.6940,212,6928.4,62791.8238,0
1648690440000,9.073,9.081,9.061,9.064,3092.3,1648690499999,28055.1482,137,2056.5,18660.7291,0
1648690500000,9.064,9.064,9.047,9.055,1975.8,1648690559999,17890.6076,76,489.5,4429.5576,0
1648690560000,9.054,9.058,9.038,9.045,3920.4,1648690619999,35473.5501,127,2434.0,22024.0004,0
1648690620000,9.045,9.045,9.036,9.038,1680.7,1648690679999,15192.4658,73,275.8,2492.9630,0
1648690680000,9.039,9.045,9.036,9.040,3084.1,1648690739999,27882.5271,92,1855.2,16773.0954,0
