open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,3.482,3.483,3.471,3.473,3711.8,1648684859999,12909.7604,58,1456.6,5070.7054,0
1648684860000,3.474,3.478,3.470,3.471,6218.5,1648684919999,21594.5190,65,494.5,1718.5692,0
1648684920000,3.473,3.480,3.469,3.469,9382.4,1648684979999,32604.8976,94,5590.1,19433.2691,0
1648684980000,3.469,3.472,3.467,3.468,5491.2,1648685039999,19051.3515,72,705.0,2446.9524,0
1648685040000,3.468,3.468,3.464,3.466,3820.6,1648685099999,13244.9542,74,413.5,1433.4890,0
1648685100000,3.466,3.466,3.464,3.464,2406.4,1648685159999,8337.2142,53,813.5,2818.9782,0
1648685160000,3.464,3.470,3.462,3.470,3963.3,1648685219999,13728.8409,48,2454.1,8503.1950,0
1648685220000,3.471,3.474,3.470,3.473,4832.4,1648685279999,16776.9520,55,3491.0,12119.8185,0
1648685280000,3.475,3.479,3.473,3.479,1366.1,1648685339999,4748.5150,50,954.6,3318.5414,0
1648685340000,3.478,3.482,3.477,3.482,1239.0,1648685399999,4310.8696,34,840.0,2922.8822,0
1648685400000,3.484,3.507,3.484,3.492,63392.7,1648685459999,221560.7551,636,44229.4,154593.7984,0
1648685460000,3.492,3.496,3.489,3.490,6155.6,1648685519999,21500.8275,122,2461.3,8598.4688,0
1648685520000,3.491,3.496,3.490,3.495,4828.7,1648685579999,16868.2215,94,3547.2,12391.8014,0
1648685580000,3.496,3.497,3.494,3.496,4069.7,1648685639999,14226.6581,87,1309.3,4577.5964,0
1648685640000,3.497,3.499,3.493,3.496,1494.7,1648685699999,5226.1695,61,607.3,2123.9597,0
1648685700000,3.496,3.500,3.496,3.499,2689.2,1648685759999,9404.8451,82,1268.1,4435.0539,0
1648685760000,3.497,3.500,3.495,3.499,2443.1,1648685819999,8543.7405,88,1100.9,3850.8061,0
1648685820000,3.499,3.502,3.497,3.497,1132.4,1648685879999,3962.9291,47,611.9,2141.8712,0
1648685880000,3.497,3.499,3.496,3.497,2839.4,1648685939999,9928.1523,53,912.3,3190.6163,0
1648685940000,3.497,3.499,3.496,3.497,3940.9,1648685999999,13782.1033,47,975.7,3413.4953,0
1648686000000,3.496,3.498,3.493,3.496,6594.9,1648686059999,23050.9799,116,2135.2,7464.3221,0
1648686060000,3.495,3.499,3.494,3.497,4044.1,1648686119999,14138.4234,64,659.5,2306.3981,0
1648686120000,3.498,3.502,3.498,3.502,1442.8,1648686179999,5048.8149,28,1322.5,4628.0055,0
1648686180000,3.501,3.504,3.501,3.503,3560.5,1648686239999,12468.0796,28,2413.3,8450.5822,0
1648686240000,3.502,3.503,3.499,3.503,8730.3,1648686299999,30562.4647,41,2818.5,9862.8934,0
1648686300000,3.503,3.503,3.500,3.501,1340.9,1648686359999,4695.7916,31,582.5,2040.0933,0
1648686360000,3.502,3.502,3.499,3.500,2113.2,1648686419999,7396.4998,31,297.4,1040.7794,0
1648686420000,3.501,3.504,3.501,3.503,1867.8,1648686479999,6542.8781,47,872.3,3056.0949,0
1648686480000,3.504,3.511,3.503,3.510,8315.2,1648686539999,29159.4865,53,7931.2,27812.2914,0
1648686540000,3.510,3.511,3.507,3.508,4613.9,1648686599999,16190.4461,57,1692.5,5938.8820,0
