open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.010936,0.010981,0.010888,0.010971,7711016,1648512059999,84330.061974,413,3801225,41595.364780,0
1648512060000,0.010972,0.010988,0.010921,0.010975,4087950,1648512119999,44778.487031,452,1368449,14985.819903,0
1648512120000,0.010975,0.010994,0.010949,0.010980,3170654,1648512179999,34805.072268,341,1938542,21282.589779,0
1648512180000,0.010980,0.011002,0.010943,0.011002,3119438,1648512239999,34225.631268,332,2099341,23042.673850,0
1648512240000,0.011004,0.011020,0.010984,0.011005,3001692,1648512299999,33025.698094,246,1343859,14783.236841,0
1648512300000,0.011003,0.011018,0.010983,0.011004,2281128,1648512359999,25101.452291,161,1209901,13309.242516,0
1648512360000,0.011005,0.011006,0.010950,0.010988,4592238,1648512419999,50372.007516,248,2759280,30275.340903,0
1648512420000,0.010984,0.011005,0.010953,0.010956,3851599,1648512479999,42289.634588,201,1361205,14946.053002,0
1648512480000,0.010952,0.011012,0.010952,0.010999,4191063,1648512539999,46029.388398,164,3064243,33639.132016,0
1648512540000,0.011000,0.011032,0.011000,0.011024,5793168,1648512599999,63847.918961,159,4672608,51505.521591,0
1648512600000,0.011025,0.011049,0.011022,0.011031,2878857,1648512659999,31756.659294,139,1454121,16040.215519,0
1648512660000,0.011030,0.011046,0.011011,0.011046,4219737,1648512719999,46532.098745,235,1623896,17913.077935,0
1648512720000,0.011042,0.011050,0.011024,0.011041,5139331,1648512779999,56740.885386,162,1102330,12172.669157,0
1648512780000,0.011039,0.011048,0.011025,0.011037,2446540,1648512839999,27005.374646,158,1403518,15494.175676,0
1648512840000,0.011040,0.011041,0.011013,0.011036,3905636,1648512899999,43072.939237,112,662342,7303.966475,0
1648512900000,0.011036,0.011061,0.011020,0.011052,2194707,1648512959999,24235.023672,126,1310374,14469.645061,0
1648512960000,0.011055,0.011075,0.011047,0.011063,2898283,1648513019999,32050.044033,191,1775717,19638.585882,0
1648513020000,0.011069,0.011070,0.011032,0.011051,2781586,1648513079999,30743.103098,205,1188972,13140.269275,0
1648513080000,0.011053,0.011055,0.011020,0.011033,2267772,1648513139999,25023.883147,134,511729,5650.002659,0
1648513140000,0.011033,0.011039,0.011016,0.011031,1810490,1648513199999,19963.483570,123,578289,6379.350962,0
1648513200000,0.011031,0.011031,0.011008,0.011012,876119,1648513259999,9653.229789,118,163305,1798.788371,0
1648513260000,0.011003,0.011037,0.011003,0.011037,2048158,1648513319999,22576.298582,113,1219504,13442.150467,0
1648513320000,0.011044,0.011057,0.011030,0.011047,1453637,1648513379999,16054.025507,111,368686,4072.451087,0
1648513380000,0.011043,0.011047,0.011025,0.011032,1952392,1648513439999,21540.095587,103,378325,4173.620491,0
1648513440000,0.011033,0.011062,0.011033,0.011058,900009,1648513499999,9945.614434,100,443215,4898.620868,0
1648513500000,0.011057,0.011065,0.011050,0.011057,836872,1648513559999,9252.532193,82,454009,5019.494073,0
1648513560000,0.011058,0.011067,0.011040,0.011046,1626052,1648513619999,17964.825363,84,736310,8137.446621,0
1648513620000,0.011049,0.011055,0.011032,0.011035,913749,1648513679999,10087.726158,72,180533,1993.393401,0
1648513680000,0.011039,0.011062,0.011034,0.011058,4180773,1648513739999,46169.073007,88,1148135,12682.868284,0
1648513740000,0.011059,0.011059,0.011040,0.011043,1037511,1648513799999,11467.131009,75,252925,2794.833709,0
1648513800000,0.011046,0.011061,0.011046,0.011051,822557,1648513859999,9091.339972,59,522054,5769.453337,0
1648513860000,0.011053,0.011067,0.011048,0.011064,1816923,1648513919999,20089.771033,102,1166589,12899.519480,0
1648513920000,0.011064,0.011064,0.011050,0.011054,1344653,1648513979999,14867.208226,50,342151,3783.660084,0
1648513980000,0.011054,0.011074,0.011049,0.011070,1850970,1648514039999,20475.853165,65,1395494,15440.356213,0
1648514040000,0.011069,0.011069,0.011057,0.011057,1278692,1648514099999,14147.061258,54,85707,948.302553,0
1648514100000,0.011056,0.011069,0.011050,0.011063,1262371,1648514159999,13961.203619,70,737657,8160.312671,0
1648514160000,0.011062,0.011081,0.011061,0.011071,1938131,1648514219999,21453.637375,97,1062784,11763.803026,0
1648514220000,0.011072,0.011082,0.011072,0.011079,1542179,1648514279999,17084.380960,91,484913,5371.472834,0
1648514280000,0.011081,0.011085,0.011067,0.011074,1924708,1648514339999,21319.165483,85,972603,10773.234851,0
1648514340000,0.011074,0.011092,0.011070,0.011088,819824,1648514399999,9082.705544,66,125851,1394.300778,0
1648514400000,0.011088,0.011093,0.011080,0.011083,1767489,1648514459999,19592.743712,251,1023401,11344.929106,0
1648514460000,0.011082,0.011086,0.011078,0.011081,1145876,1648514519999,12697.145900,217,626941,6947.379006,0
1648514520000,0.011081,0.011081,0.011060,0.011075,1119795,1648514579999,12395.146511,210,558501,6181.817689,0
1648514580000,0.011075,0.011078,0.011065,0.011077,871190,1648514639999,9645.098663,168,291310,3225.664913,0
1648514640000,0.011077,0.011104,0.011077,0.011102,2036442,1648514699999,22601.647930,179,1505776,16710.887210,0
1648514700000,0.011103,0.011131,0.011098,0.011131,3088214,1648514759999,34329.229821,167,2219779,24679.634754,0
1648514760000,0.011125,0.011129,0.011104,0.011124,2784000,1648514819999,30956.782160,127,1462005,16257.865009,0
1648514820000,0.011124,0.011130,0.011115,0.011117,1329904,1648514879999,14793.421026,80,82279,915.258920,0
1648514880000,0.011118,0.011129,0.011117,0.011124,741511,1648514939999,8247.266966,64,291196,3239.770645,0
1648514940000,0.011125,0.011127,0.011120,0.011121,474208,1648514999999,5275.049286,52,124236,1382.004667,0
1648515000000,0.011121,0.011123,0.011104,0.011108,906231,1648515059999,10074.077121,82,277613,3086.952059,0
1648515060000,0.011105,0.011185,0.011105,0.011152,38441134,1648515119999,428699.458635,1240,19100712,212998.663586,0
1648515120000,0.011151,0.011170,0.011137,0.011137,5428417,1648515179999,60557.901955,216,3002361,33504.976635,0
1648515180000,0.011136,0.011146,0.011124,0.011136,2306736,1648515239999,25686.119555,109,1421077,15827.327776,0
1648515240000,0.011146,0.011146,0.011130,0.011144,2134738,1648515299999,23783.475342,116,1072526,11950.495368,0
1648515300000,0.011141,0.011141,0.011128,0.011134,1051303,1648515359999,11707.181977,74,474021,5278.769364,0
1648515360000,0.011134,0.011140,0.011117,0.011138,2350138,1648515419999,26149.165608,80,654130,7280.691033,0
1648515420000,0.011135,0.011148,0.011131,0.011131,3171450,1648515479999,35339.399359,89,1922649,21428.077485,0
1648515480000,0.011137,0.011141,0.011131,0.011141,605388,1648515539999,6741.938277,43,299996,3341.069786,0
1648515540000,0.011142,0.011142,0.011121,0.011128,1010116,1648515599999,11245.491097,90,366805,4082.569426,0
1648515600000,0.011124,0.011152,0.011123,0.011148,8012280,1648515659999,89265.622032,218,5610035,62498.291140,0
1648515660000,0.011150,0.011168,0.011150,0.011156,1886628,1648515719999,21054.130647,103,1051872,11737.447876,0
1648515720000,0.011158,0.011168,0.011140,0.011155,2277490,1648515779999,25406.742101,123,1483360,16550.396284,0
1648515780000,0.011155,0.011155,0.011126,0.011145,1462119,1648515839999,16292.687859,85,399184,4447.361348,0
1648515840000,0.011144,0.011144,0.011129,0.011138,704352,1648515899999,7846.703116,59,174666,1945.782780,0
