open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.46290,0.46320,0.46100,0.46190,88966,1648598459999,41090.81610,244,31061,14352.12160,0
1648598460000,0.46190,0.46200,0.46000,0.46060,170255,1648598519999,78466.10220,276,66127,30474.73970,0
1648598520000,0.46080,0.46080,0.45820,0.45850,196383,1648598579999,90196.36840,380,56866,26101.33850,0
1648598580000,0.45850,0.45980,0.45830,0.45970,58452,1648598639999,26845.30480,160,42986,19744.10280,0
1648598640000,0.45980,0.46180,0.45980,0.46030,174748,1648598699999,80570.49200,260,116169,53560.12520,0
1648598700000,0.46030,0.46060,0.45850,0.45920,87411,1648598759999,40133.72190,195,33099,15191.87570,0
1648598760000,0.45920,0.45990,0.45850,0.45870,84450,1648598819999,38774.90600,188,36129,16591.02980,0
1648598820000,0.45880,0.45990,0.45860,0.45940,125974,1648598879999,57864.93430,214,99716,45810.38670,0
1648598880000,0.45960,0.46120,0.45950,0.46120,149884,1648598939999,68989.83390,224,124832,57464.45110,0
1648598940000,0.46120,0.46280,0.46120,0.46240,79138,1648598999999,36574.16540,184,47158,21796.55600,0
1648599000000,0.46260,0.46430,0.46260,0.46380,87608,1648599059999,40589.55930,268,52930,24527.07460,0
1648599060000,0.46400,0.46670,0.46400,0.46610,95443,1648599119999,44414.79240,278,67492,31415.71280,0
1648599120000,0.46620,0.46790,0.46540,0.46760,261809,1648599179999,122189.01280,506,135425,63218.98980,0
1648599180000,0.46750,0.46790,0.46630,0.46770,259736,1648599239999,121356.95330,485,77687,36294.91680,0
1648599240000,0.46770,0.47080,0.46770,0.47060,339600,1648599299999,159325.53840,566,187008,87745.95140,0
1648599300000,0.47070,0.47310,0.46980,0.47150,499919,1648599359999,235733.78030,884,259633,122531.16110,0
1648599360000,0.47120,0.47210,0.46900,0.46940,360985,1648599419999,169856.48970,736,181101,85250.42710,0
1648599420000,0.46940,0.46970,0.46710,0.46900,209785,1648599479999,98224.15630,421,67929,31819.36750,0
1648599480000,0.46870,0.46880,0.46590,0.46730,284624,1648599539999,133054.80450,556,142675,66725.39860,0
1648599540000,0.46730,0.46780,0.46600,0.46730,112378,1648599599999,52472.60010,287,52421,24488.65760,0
1648599600000,0.46740,0.46790,0.46670,0.46700,94581,1648599659999,44202.20990,157,44976,21024.89500,0
1648599660000,0.46700,0.46770,0.46630,0.46740,168161,1648599719999,78510.43060,283,71080,33198.93930,0
1648599720000,0.46750,0.46830,0.46720,0.46770,103947,1648599779999,48627.26180,201,65888,30827.82340,0
1648599780000,0.46790,0.46820,0.46560,0.46620,156611,1648599839999,73103.37090,409,74297,34682.69070,0
1648599840000,0.46630,0.46630,0.46300,0.46520,338050,1648599899999,156991.77650,609,148348,68924.34360,0
1648599900000,0.46530,0.46720,0.46500,0.46590,305049,1648599959999,142161.75870,538,204041,95075.94140,0
1648599960000,0.46580,0.46700,0.46500,0.46510,111420,1648600019999,51956.06280,245,55401,25840.38670,0
1648600020000,0.46520,0.46840,0.46520,0.46800,133375,1648600079999,62288.97750,263,121194,56595.68000,0
1648600080000,0.46820,0.46870,0.46560,0.46560,140053,1648600139999,65403.93690,278,36286,16952.19710,0
1648600140000,0.46550,0.46660,0.46540,0.46660,196193,1648600199999,91442.28980,185,159758,74468.18060,0
1648600200000,0.46660,0.46800,0.46590,0.46630,197235,1648600259999,92132.57270,335,121445,56737.04680,0
1648600260000,0.46610,0.46720,0.46280,0.46300,287491,1648600319999,133650.15890,497,91403,42589.25690,0
1648600320000,0.46300,0.46410,0.46150,0.46280,187206,1648600379999,86640.90580,455,88083,40786.83290,0
1648600380000,0.46270,0.46270,0.46020,0.46030,126059,1648600439999,58164.27350,305,47245,21815.78350,0
1648600440000,0.46020,0.46210,0.45990,0.46140,119173,1648600499999,54895.85450,284,59781,27556.18870,0
1648600500000,0.46110,0.46300,0.46100,0.46160,95479,1648600559999,44132.09360,249,59799,27631.59110,0
1648600560000,0.46160,0.46240,0.46060,0.46170,94336,1648600619999,43537.82740,186,45021,20773.73360,0
1648600620000,0.46170,0.46170,0.45950,0.45960,194424,1648600679999,89463.24330,315,100597,46287.63250,0
1648600680000,0.45990,0.46190,0.45960,0.46180,74157,1648600739999,34177.02690,116,51016,23512.45200,0
1648600740000,0.46190,0.46380,0.46190,0.46260,131197,1648600799999,60734.25520,234,76839,35571.51330,0
1648600800000,0.46270,0.46360,0.46260,0.46300,18108,1648600859999,8387.95600,74,5015,2323.24640,0
1648600860000,0.46310,0.46380,0.46280,0.46360,28169,1648600919999,13051.72940,87,11166,5174.42410,0
1648600920000,0.46380,0.46410,0.46350,0.46410,48016,1648600979999,22269.98230,100,25554,11853.41490,0
1648600980000,0.46420,0.46470,0.46360,0.46380,92834,1648601039999,43078.99010,160,48910,22695.29030,0
1648601040000,0.46380,0.46640,0.46360,0.46590,196077,1648601099999,91224.39460,280,143379,66698.07250,0
1648601100000,0.46590,0.46620,0.46480,0.46480,140503,1648601159999,65405.37170,219,45682,21270.43140,0
1648601160000,0.46480,0.46500,0.46310,0.46320,167438,1648601219999,77665.07610,292,52800,24489.78720,0
1648601220000,0.46310,0.46310,0.46190,0.46250,78045,1648601279999,36099.99600,207,23049,10658.04460,0
1648601280000,0.46250,0.46310,0.46190,0.46260,78129,1648601339999,36140.15720,189,38879,17987.18500,0
1648601340000,0.46270,0.46330,0.46200,0.46320,36648,1648601399999,16964.76250,119,13473,6235.83650,0
1648601400000,0.46330,0.46340,0.46150,0.46280,83323,1648601459999,38500.18720,163,34545,15961.12780,0
1648601460000,0.46280,0.46560,0.46280,0.46540,120871,1648601519999,56143.42660,216,88586,41147.38620,0
1648601520000,0.46550,0.46760,0.46550,0.46760,174540,1648601579999,81512.39040,258,138604,64743.86070,0
1648601580000,0.46770,0.47000,0.46760,0.46920,145909,1648601639999,68420.79860,300,95538,44797.21140,0
