open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,0.011824,0.011896,0.011779,0.011875,6895942,1648512059999,81731.157936,202,4677907,55452.149538,0
1648512060000,0.011868,0.011914,0.011814,0.011910,9858898,1648512119999,116927.524966,345,3511482,41669.552388,0
1648512120000,0.011909,0.011979,0.011863,0.011877,15693628,1648512179999,187011.090729,430,8953441,106784.487962,0
1648512180000,0.011877,0.011985,0.011876,0.011984,15632717,1648512239999,186494.545588,480,10793900,128731.359725,0
1648512240000,0.011985,0.011986,0.011937,0.011937,5758854,1648512299999,68875.370757,232,1137000,13597.533050,0
1648512300000,0.011937,0.011940,0.011895,0.011929,4302050,1648512359999,51259.178771,168,1794264,21371.495707,0
1648512360000,0.011933,0.011933,0.011903,0.011926,2097593,1648512419999,24998.981380,84,1540672,18364.159749,0
1648512420000,0.011930,0.011945,0.011927,0.011928,600490,1648512479999,7166.996965,34,472951,5644.008764,0
1648512480000,0.011922,0.011993,0.011922,0.011983,2490827,1648512539999,29789.781416,92,1771531,21179.761986,0
1648512540000,0.011983,0.011994,0.011926,0.011992,10817898,1648512599999,129470.578616,204,2961723,35493.104791,0
1648512600000,0.011992,0.011994,0.011982,0.011990,1697480,1648512659999,20351.160818,81,1001493,12008.139584,0
1648512660000,0.011992,0.011994,0.011960,0.011980,3003612,1648512719999,35965.408263,130,1900139,22749.595310,0
1648512720000,0.011982,0.011987,0.011922,0.011963,5525149,1648512779999,66041.441603,188,1785687,21346.546223,0
1648512780000,0.011965,0.011971,0.011948,0.011965,1388935,1648512839999,16614.911205,79,494576,5917.990652,0
1648512840000,0.011965,0.011980,0.011939,0.011980,937656,1648512899999,11209.435738,92,925573,11065.051805,0
1648512900000,0.011982,0.012007,0.011955,0.012007,1677116,1648512959999,20083.759835,96,1270207,15209.054874,0
1648512960000,0.012003,0.012023,0.011996,0.012023,5176416,1648513019999,62162.617711,157,2330948,27989.353758,0
1648513020000,0.012021,0.012021,0.011961,0.011982,2657438,1648513079999,31855.752184,128,703383,8424.273597,0
1648513080000,0.011983,0.011984,0.011966,0.011969,594561,1648513139999,7119.566066,44,275119,3293.691935,0
1648513140000,0.011968,0.011981,0.011966,0.011971,342623,1648513199999,4101.725025,61,244433,2926.344073,0
1648513200000,0.011966,0.011973,0.011938,0.011966,3168419,1648513259999,37877.330686,129,746573,8927.526091,0
1648513260000,0.011966,0.011993,0.011951,0.011992,4574977,1648513319999,54786.050837,150,2402179,28769.703947,0
1648513320000,0.011992,0.012009,0.011987,0.012004,1012791,1648513379999,12152.580446,57,445599,5346.042354,0
1648513380000,0.012004,0.012012,0.011992,0.012000,979242,1648513439999,11753.305320,51,742144,8907.158525,0
1648513440000,0.012000,0.012020,0.011997,0.012019,379916,1648513499999,4560.857520,33,134883,1619.250685,0
1648513500000,0.012016,0.012020,0.012000,0.012000,589097,1648513559999,7076.029361,55,230432,2768.750275,0
1648513560000,0.011999,0.011999,0.011979,0.011995,881905,1648513619999,10571.737131,58,275630,3303.777714,0
1648513620000,0.011992,0.012001,0.011985,0.012001,654019,1648513679999,7845.875258,75,310982,3730.778457,0
1648513680000,0.012004,0.012027,0.011997,0.012025,1783318,1648513739999,21421.739014,92,1096575,13172.835322,0
1648513740000,0.012025,0.012025,0.011980,0.011994,3459762,1648513799999,41510.185258,99,426948,5119.008876,0
1648513800000,0.011994,0.012011,0.011994,0.012004,1399571,1648513859999,16792.674834,54,1037627,12448.001862,0
1648513860000,0.012001,0.012006,0.011995,0.012006,967756,1648513919999,11613.922131,53,779455,9354.275659,0
1648513920000,0.012009,0.012011,0.011993,0.012000,1203862,1648513979999,14450.055619,56,851228,10217.261607,0
1648513980000,0.011998,0.012021,0.011997,0.012020,1352323,1648514039999,16241.707122,93,1058690,12716.464945,0
1648514040000,0.012020,0.012043,0.012002,0.012002,3310943,1648514099999,39828.528485,124,2629105,31634.296703,0
1648514100000,0.012014,0.012023,0.012008,0.012011,713395,1648514159999,8569.740612,36,459044,5514.312423,0
1648514160000,0.012015,0.012033,0.011996,0.012019,2697948,1648514219999,32394.545698,104,919449,11043.377282,0
1648514220000,0.012023,0.012065,0.012023,0.012065,999912,1648514279999,12040.582554,66,739514,8903.838283,0
1648514280000,0.012066,0.012068,0.012045,0.012063,324477,1648514339999,3912.830195,38,178285,2150.357085,0
1648514340000,0.012060,0.012072,0.012058,0.012058,557894,1648514399999,6731.227062,31,82267,992.724155,0
1648514400000,0.012062,0.012067,0.012056,0.012067,287190,1648514459999,3463.848434,18,38719,467.087845,0
1648514460000,0.012069,0.012074,0.012064,0.012064,1018883,1648514519999,12294.407173,69,402438,4855.133414,0
1648514520000,0.012065,0.012075,0.012059,0.012075,795270,1648514579999,9595.219715,63,304287,3671.801939,0
1648514580000,0.012075,0.012095,0.012074,0.012085,2787682,1648514639999,33698.213893,163,1164178,14071.081671,0
1648514640000,0.012086,0.012097,0.012086,0.012094,833911,1648514699999,10084.259932,50,577601,6984.529398,0
1648514700000,0.012096,0.012107,0.012082,0.012107,3164849,1648514759999,38274.159494,159,1383699,16738.730006,0
1648514760000,0.012103,0.012117,0.012084,0.012113,2214871,1648514819999,26798.799891,115,1203567,14568.116801,0
1648514820000,0.012113,0.012123,0.012091,0.012091,963378,1648514879999,11666.477482,84,151079,1830.315876,0
1648514880000,0.012088,0.012094,0.012085,0.012088,865304,1648514939999,10461.881526,66,358450,4333.777229,0
1648514940000,0.012088,0.012093,0.012082,0.012087,697466,1648514999999,8431.905545,81,508418,6147.137141,0
1648515000000,0.012083,0.012087,0.012061,0.012061,403352,1648515059999,4870.631800,67,45411,548.207586,0
1648515060000,0.012060,0.012078,0.012060,0.012073,1102915,1648515119999,13314.782904,44,876186,10578.375917,0
1648515120000,0.012070,0.012072,0.012047,0.012050,523968,1648515179999,6320.119157,39,77310,932.421638,0
1648515180000,0.012050,0.012056,0.012032,0.012044,2368266,1648515239999,28528.480231,96,1034722,12469.935862,0
1648515240000,0.012050,0.012050,0.012027,0.012034,688513,1648515299999,8284.763789,45,122075,1469.232935,0
1648515300000,0.012030,0.012035,0.012026,0.012032,428295,1648515359999,5153.205103,30,296389,3566.432315,0
1648515360000,0.012033,0.012043,0.012028,0.012040,238173,1648515419999,2867.705093,40,9191,110.620116,0
1648515420000,0.012043,0.012053,0.012043,0.012046,723398,1648515479999,8715.837658,43,687471,8283.005101,0
1648515480000,0.012044,0.012051,0.012040,0.012051,132100,1648515539999,1591.062536,31,71626,862.768707,0
1648515540000,0.012049,0.012054,0.012031,0.012033,1057801,1648515599999,12742.020709,54,61745,743.352901,0
1648515600000,0.012033,0.012044,0.012000,0.012044,3170177,1648515659999,38117.657552,140,1463927,17608.618338,0
1648515660000,0.012046,0.012046,0.012028,0.012031,848685,1648515719999,10217.832776,73,387365,4663.275273,0
1648515720000,0.012032,0.012046,0.012027,0.012036,1085113,1648515779999,13061.536498,75,868422,10453.524902,0
1648515780000,0.012039,0.012039,0.012020,0.012039,238430,1648515839999,2868.052704,28,129645,1560.073400,0
1648515840000,0.012039,0.012043,0.012024,0.012043,298799,1648515899999,3596.084113,42,201562,2425.852842,0
1648515900000,0.012044,0.012063,0.012039,0.012060,774000,1648515959999,9328.184890,61,428581,5163.555871,0
1648515960000,0.012057,0.012063,0.012042,0.012063,943092,1648516019999,11364.920090,54,331296,3992.446818,0
1648516020000,0.012064,0.012077,0.012058,0.012070,1124715,1648516079999,13571.794786,61,375897,4536.529256,0
1648516080000,0.012072,0.012076,0.012065,0.012076,318616,1648516139999,3844.965928,25,55484,669.588755,0
1648516140000,0.012075,0.012093,0.012064,0.012093,641479,1648516199999,7750.363608,38,483505,5841.890618,0
1648516200000,0.012089,0.012090,0.012072,0.012077,1532811,1648516259999,18513.192754,56,676124,8167.033492,0
1648516260000,0.012079,0.012082,0.012070,0.012078,1113048,1648516319999,13442.758405,106,294339,3555.766596,0
1648516320000,0.012078,0.012079,0.012072,0.012072,980315,1648516379999,11836.552750,53,567388,6850.991699,0
1648516380000,0.012073,0.012089,0.012071,0.012089,1163967,1648516439999,14058.126629,71,783152,9459.890582,0
1648516440000,0.012093,0.012108,0.012093,0.012097,1371459,1648516499999,16602.445035,40,39815,481.794821,0
1648516500000,0.012098,0.012110,0.012085,0.012110,1042733,1648516559999,12612.554005,38,307521,3717.191119,0
1648516560000,0.012110,0.012112,0.012101,0.012106,1076834,1648516619999,13035.949671,73,706911,8557.433126,0
1648516620000,0.012106,0.012106,0.012077,0.012077,1012256,1648516679999,12244.970578,58,80737,976.327936,0
1648516680000,0.012087,0.012093,0.012079,0.012083,187560,1648516739999,2266.258502,40,53953,652.090703,0
1648516740000,0.012087,0.012087,0.012069,0.012069,82477,1648516799999,996.610313,20,2962,35.756430,0
1648516800000,0.012074,0.012083,0.012074,0.012083,176558,1648516859999,2133.024625,28,171529,2072.259218,0
1648516860000,0.012083,0.012092,0.012080,0.012086,982845,1648516919999,11882.303051,42,912417,11030.774541,0
1648516920000,0.012088,0.012097,0.012088,0.012092,92266,1648516979999,1115.641555,17,53772,650.087640,0
1648516980000,0.012092,0.012098,0.012082,0.012092,871481,1648517039999,10536.117596,43,270664,3273.594339,0
1648517040000,0.012094,0.012106,0.012091,0.012092,778787,1648517099999,9421.516146,67,76817,929.665037,0
1648517100000,0.012092,0.012105,0.012082,0.012105,1314298,1648517159999,15891.882241,40,577812,6986.768429,0
1648517160000,0.012103,0.012103,0.012080,0.012080,2656988,1648517219999,32108.104959,42,41350,500.027688,0
1648517220000,0.012082,0.012108,0.012081,0.012095,1952614,1648517279999,23625.965159,77,328419,3971.537404,0
1648517280000,0.012097,0.012097,0.012086,0.012092,328715,1648517339999,3975.002614,22,97051,1173.551785,0
1648517340000,0.012094,0.012108,0.012092,0.012105,908294,1648517399999,10992.332549,37,262341,3175.200898,0
1648517400000,0.012103,0.012114,0.012085,0.012085,809671,1648517459999,9795.843929,52,364660,4413.362788,0
1648517460000,0.012081,0.012100,0.012072,0.012099,1197623,1648517519999,14473.616762,56,1167470,14109.373336,0
1648517520000,0.012100,0.012112,0.012100,0.012110,199195,1648517579999,2411.951529,14,184055,2228.670838,0
1648517580000,0.012112,0.012112,0.012100,0.012104,319029,1648517639999,3863.474328,46,1987,24.057958,0
1648517640000,0.012111,0.012111,0.012100,0.012100,199486,1648517699999,2414.801970,21,8237,99.732728,0
1648517700000,0.012100,0.012113,0.012100,0.012106,616357,1648517759999,7462.945590,46,424588,5141.284333,0
1648517760000,0.012109,0.012131,0.012109,0.012118,913370,1648517819999,11074.816128,46,433091,5251.781822,0
1648517820000,0.012116,0.012125,0.012101,0.012109,1658216,1648517879999,20076.804961,90,353394,4280.801564,0
1648517880000,0.012110,0.012120,0.012110,0.012118,400830,1648517939999,4856.529404,19,384889,4663.359586,0
1648517940000,0.012119,0.012158,0.012119,0.012147,3286301,1648517999999,39887.326573,120,1924473,23354.497840,0
1648518000000,0.012150,0.012177,0.012144,0.012173,1664764,1648518059999,20238.600954,83,733909,8924.310912,0
1648518060000,0.012173,0.012173,0.012131,0.012142,1331318,1648518119999,16167.251623,84,160231,1944.364267,0
1648518120000,0.012141,0.012168,0.012140,0.012166,906751,1648518179999,11023.180280,61,702967,8548.464833,0
1648518180000,0.012164,0.012179,0.012156,0.012179,490915,1648518239999,5972.606612,39,361034,4392.580941,0
1648518240000,0.012179,0.012182,0.012145,0.012145,1946206,1648518299999,23688.105286,69,554257,6746.790179,0
1648518300000,0.012143,0.012171,0.012143,0.012171,1205427,1648518359999,14659.317554,49,659437,8021.367144,0
1648518360000,0.012170,0.012182,0.012164,0.012169,1328980,1648518419999,16180.519795,61,739055,9000.374831,0
1648518420000,0.012170,0.012176,0.012159,0.012163,1636719,1648518479999,19909.486245,67,368444,4480.947390,0
1648518480000,0.012165,0.012179,0.012152,0.012169,1211477,1648518539999,14739.538728,72,622533,7576.834999,0
1648518540000,0.012166,0.012168,0.012159,0.012163,492858,1648518599999,5995.234446,38,189319,2303.225114,0
1648518600000,0.012164,0.012174,0.012160,0.012172,603006,1648518659999,7336.804020,40,358987,4368.585556,0
1648518660000,0.012170,0.012173,0.012156,0.012156,365401,1648518719999,4447.384798,18,83361,1014.627714,0
1648518720000,0.012162,0.012177,0.012152,0.012177,1422411,1648518779999,17311.872900,34,481944,5866.374306,0
1648518780000,0.012176,0.012184,0.012160,0.012177,2708294,1648518839999,32980.157473,69,2152341,26210.789918,0
1648518840000,0.012175,0.012215,0.012175,0.012196,5007916,1648518899999,61066.830104,150,3735879,45559.128879,0
1648518900000,0.012182,0.012186,0.012172,0.012180,2129458,1648518959999,25931.836295,67,1188911,14477.806956,0
1648518960000,0.012183,0.012193,0.012183,0.012185,566858,1648519019999,6908.074351,41,240301,2928.112764,0
1648519020000,0.012184,0.012197,0.012184,0.012194,983297,1648519079999,11988.819622,55,576113,7024.545973,0
1648519080000,0.012194,0.012203,0.012184,0.012192,372723,1648519139999,4544.357513,38,85225,1039.528363,0
1648519140000,0.012205,0.012215,0.012185,0.012196,3362811,1648519199999,41050.507931,72,148061,1805.982450,0
1648519200000,0.012196,0.012216,0.012196,0.012212,1403479,1648519259999,17135.022769,86,752933,9193.658663,0
1648519260000,0.012216,0.012222,0.012202,0.012202,1314295,1648519319999,16047.721814,54,457033,5582.279407,0
1648519320000,0.012200,0.012221,0.012184,0.012192,6107802,1648519379999,74534.578220,150,3372225,41167.640532,0
1648519380000,0.012192,0.012194,0.012174,0.012179,1083064,1648519439999,13198.280250,56,118220,1441.000363,0
1648519440000,0.012178,0.012192,0.012167,0.012170,667542,1648519499999,8130.058435,60,280369,3415.585471,0
1648519500000,0.012170,0.012177,0.012138,0.012144,4463501,1648519559999,54255.383459,156,850833,10347.256818,0
1648519560000,0.012151,0.012171,0.012151,0.012167,1062562,1648519619999,12925.919377,55,707678,8607.082436,0
1648519620000,0.012170,0.012170,0.012159,0.012161,489261,1648519679999,5952.638554,22,249944,3040.398241,0
1648519680000,0.012161,0.012167,0.012159,0.012164,291242,1648519739999,3542.200812,27,160471,1951.544644,0
1648519740000,0.012165,0.012166,0.012156,0.012162,379287,1648519799999,4612.859512,54,108691,1322.110220,0
1648519800000,0.012165,0.012165,0.012141,0.012158,3053182,1648519859999,37106.459746,92,1627081,19779.347909,0
1648519860000,0.012155,0.012165,0.012151,0.012152,1180957,1648519919999,14357.186611,51,384168,4672.142902,0
1648519920000,0.012156,0.012163,0.012135,0.012139,808195,1648519979999,9821.929650,42,224696,2730.150237,0
1648519980000,0.012142,0.012143,0.012127,0.012132,470812,1648520039999,5711.526835,40,140643,1706.543565,0
1648520040000,0.012135,0.012147,0.012135,0.012143,830278,1648520099999,10081.455069,24,630698,7657.955129,0
1648520100000,0.012143,0.012143,0.012117,0.012131,4392564,1648520159999,53264.817288,97,1221452,14813.492455,0
1648520160000,0.012132,0.012136,0.012116,0.012121,895039,1648520219999,10853.119597,59,650806,7890.863441,0
1648520220000,0.012117,0.012120,0.012096,0.012119,3016219,1648520279999,36508.222527,70,323945,3923.612126,0
1648520280000,0.012120,0.012127,0.012120,0.012122,303030,1648520339999,3673.976184,21,201625,2444.742522,0
1648520340000,0.012122,0.012122,0.012117,0.012117,212999,1648520399999,2581.465856,17,54019,654.553063,0
1648520400000,0.012116,0.012117,0.012107,0.012112,639095,1648520459999,7740.707624,34,208200,2521.682883,0
1648520460000,0.012112,0.012112,0.012103,0.012104,1357535,1648520519999,16436.799481,46,97531,1180.484734,0
1648520520000,0.012104,0.012107,0.012081,0.012081,1444544,1648520579999,17471.191272,86,227878,2756.505693,0
1648520580000,0.012084,0.012097,0.012080,0.012088,3942480,1648520639999,47633.622189,61,2923028,35314.510033,0
1648520640000,0.012088,0.012108,0.012088,0.012108,475584,1648520699999,5753.840900,20,475584,5753.840900,0
1648520700000,0.012106,0.012114,0.012101,0.012114,496685,1648520759999,6012.786173,30,238349,2885.663012,0
1648520760000,0.012120,0.012126,0.012120,0.012126,800013,1648520819999,9700.932577,8,800013,9700.932577,0
1648520820000,0.012129,0.012142,0.012123,0.012126,1264411,1648520879999,15342.759461,94,200156,2428.509233,0
1648520880000,0.012125,0.012126,0.012118,0.012123,336841,1648520939999,4083.777788,57,182512,2212.913470,0
1648520940000,0.012128,0.012135,0.012101,0.012117,2665779,1648520999999,32314.218044,151,382655,4635.701441,0
1648521000000,0.012115,0.012135,0.012115,0.012132,694854,1648521059999,8426.755609,82,444429,5389.169044,0
1648521060000,0.012132,0.012137,0.012074,0.012122,7563169,1648521119999,91559.093681,250,5178811,62686.332398,0
1648521120000,0.012121,0.012125,0.012086,0.012121,2830974,1648521179999,34277.433129,145,1098693,13304.999521,0
1648521180000,0.012127,0.012137,0.012122,0.012128,1234278,1648521239999,14969.989166,92,267416,3243.663185,0
1648521240000,0.012130,0.012130,0.012123,0.012127,401365,1648521299999,4867.570289,43,49169,596.347670,0
1648521300000,0.012121,0.012123,0.012117,0.012120,300069,1648521359999,3636.989477,70,88155,1068.379114,0
1648521360000,0.012120,0.012128,0.012107,0.012107,1052842,1648521419999,12761.491513,60,174342,2113.205034,0
1648521420000,0.012103,0.012109,0.012092,0.012100,1767438,1648521479999,21379.164247,48,488354,5908.444311,0
1648521480000,0.012095,0.012099,0.012095,0.012096,76013,1648521539999,919.570805,9,72409,875.976065,0
1648521540000,0.012096,0.012116,0.012095,0.012116,150703,1648521599999,1824.306717,15,133008,1610.261985,0
1648521600000,0.012115,0.012115,0.012090,0.012099,915431,1648521659999,11077.763934,30,164421,1989.646483,0
1648521660000,0.012104,0.012104,0.012093,0.012098,668974,1648521719999,8094.442105,20,5932,71.749561,0
1648521720000,0.012099,0.012112,0.012099,0.012110,1263270,1648521779999,15292.928573,26,1178310,14264.130067,0
1648521780000,0.012111,0.012111,0.012084,0.012084,380976,1648521839999,4608.096111,23,74881,906.542376,0
1648521840000,0.012083,0.012089,0.012080,0.012089,1342413,1648521899999,16219.753424,27,1133923,13700.129518,0
1648521900000,0.012093,0.012095,0.012087,0.012087,122467,1648521959999,1480.680308,11,35928,434.527574,0
1648521960000,0.012087,0.012087,0.012070,0.012077,1607802,1648522019999,19417.602702,57,207214,2502.341732,0
1648522020000,0.012073,0.012087,0.012073,0.012077,660390,1648522079999,7977.360950,36,292460,3532.374923,0
1648522080000,0.012078,0.012081,0.012067,0.012069,1183294,1648522139999,14286.671087,41,250653,3027.205603,0
1648522140000,0.012066,0.012068,0.012048,0.012054,1249775,1648522199999,15066.523353,52,214710,2589.106749,0
1648522200000,0.012051,0.012051,0.012027,0.012031,1286801,1648522259999,15491.889217,82,246525,2968.723310,0
1648522260000,0.012029,0.012030,0.012018,0.012018,924209,1648522319999,11111.984998,63,398366,4790.183789,0
1648522320000,0.012024,0.012058,0.012022,0.012055,4705451,1648522379999,56665.568621,118,3494864,42077.683525,0
1648522380000,0.012052,0.012072,0.012018,0.012027,6217076,1648522439999,74893.298542,116,3113236,37532.245507,0
1648522440000,0.012024,0.012033,0.012024,0.012033,283249,1648522499999,3407.708900,18,225845,2717.138780,0
1648522500000,0.012034,0.012054,0.012034,0.012047,570384,1648522559999,6868.872792,27,415358,5000.668877,0
1648522560000,0.012040,0.012040,0.012017,0.012017,1289234,1648522619999,15507.525292,35,32472,390.713387,0
1648522620000,0.012020,0.012028,0.012007,0.012010,1128410,1648522679999,13560.250190,31,715392,8599.202351,0
1648522680000,0.012012,0.012028,0.012009,0.012022,234539,1648522739999,2818.570822,27,127436,1532.066286,0
1648522740000,0.012022,0.012031,0.012022,0.012030,690184,1648522799999,8298.635627,19,370142,4450.361458,0
1648522800000,0.012031,0.012032,0.012022,0.012029,2745161,1648522859999,33025.029915,65,660791,7946.486169,0
1648522860000,0.012030,0.012042,0.012030,0.012036,462997,1648522919999,5571.049479,24,449480,5408.331833,0
1648522920000,0.012037,0.012062,0.012018,0.012025,3083001,1648522979999,37112.026536,91,1715012,20653.984237,0
1648522980000,0.012027,0.012039,0.012023,0.012027,688942,1648523039999,8291.134596,49,239133,2877.896993,0
1648523040000,0.012028,0.012030,0.012026,0.012028,124939,1648523099999,1502.855404,14,102494,1232.909389,0
1648523100000,0.012030,0.012070,0.012030,0.012058,2342685,1648523159999,28226.235243,92,1781869,21467.860287,0
1648523160000,0.012059,0.012062,0.012042,0.012046,504686,1648523219999,6084.815472,29,65439,789.214778,0
1648523220000,0.012046,0.012055,0.012041,0.012051,490442,1648523279999,5908.858581,26,299866,3613.375921,0
1648523280000,0.012051,0.012053,0.012040,0.012044,935664,1648523339999,11270.160748,37,96697,1165.251075,0
1648523340000,0.012045,0.012053,0.012035,0.012035,380494,1648523399999,4582.327759,31,56679,682.872587,0
1648523400000,0.012038,0.012051,0.012016,0.012018,4030943,1648523459999,48517.340456,57,209993,2529.600716,0
1648523460000,0.012018,0.012030,0.012018,0.012029,436391,1648523519999,5248.101798,32,436391,5248.101798,0
1648523520000,0.012026,0.012031,0.012025,0.012029,308893,1648523579999,3715.400813,26,282510,3398.145238,0
1648523580000,0.012035,0.012051,0.012023,0.012023,897598,1648523639999,10809.786986,45,535779,6451.750902,0
1648523640000,0.012023,0.012023,0.012000,0.012000,871302,1648523699999,10463.196643,51,186086,2234.843101,0
1648523700000,0.012007,0.012009,0.011991,0.012006,2148789,1648523759999,25796.358229,52,1794383,21542.791949,0
1648523760000,0.012006,0.012009,0.011990,0.011997,1834270,1648523819999,22016.359633,68,365883,4390.952745,0
1648523820000,0.011996,0.012010,0.011996,0.012010,402258,1648523879999,4827.010907,21,389201,4670.294215,0
1648523880000,0.012011,0.012027,0.012011,0.012018,980715,1648523939999,11786.886596,50,862697,10367.997148,0
1648523940000,0.012017,0.012031,0.012016,0.012028,1396149,1648523999999,16790.693147,44,1258652,15137.523124,0
1648524000000,0.012030,0.012055,0.012030,0.012036,1649063,1648524059999,19870.121171,52,1205251,14524.175332,0
1648524060000,0.012038,0.012047,0.012038,0.012045,287440,1648524119999,3461.161945,23,236215,2844.110252,0
1648524120000,0.012045,0.012045,0.012039,0.012042,433452,1648524179999,5219.786307,31,164810,1984.576024,0
1648524180000,0.012042,0.012060,0.012038,0.012060,731355,1648524239999,8809.487050,35,323587,3899.529102,0
1648524240000,0.012057,0.012063,0.012042,0.012047,641716,1648524299999,7738.814253,17,573687,6919.059808,0
1648524300000,0.012046,0.012054,0.012044,0.012054,421241,1648524359999,5076.113647,25,335413,4041.950739,0
1648524360000,0.012056,0.012065,0.012056,0.012065,404211,1648524419999,4875.794660,20,224327,2705.763498,0
1648524420000,0.012066,0.012081,0.012060,0.012081,493076,1648524479999,5951.185938,56,310023,3742.603327,0
1648524480000,0.012083,0.012093,0.012062,0.012067,788697,1648524539999,9526.672980,42,444505,5367.946652,0
