open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648512000000,5.353,5.379,5.336,5.370,13282.2,1648512059999,71165.0685,316,7344.9,39357.3597,0
1648512060000,5.369,5.369,5.345,5.364,12172.3,1648512119999,65212.0052,341,4858.9,26032.6579,0
1648512120000,5.364,5.371,5.356,5.367,7054.1,1648512179999,37836.0834,211,3325.6,17839.7818,0
1648512180000,5.366,5.368,5.344,5.356,17415.0,1648512239999,93209.1734,399,8226.9,44042.5541,0
1648512240000,5.356,5.377,5.353,5.368,11800.4,1648512299999,63308.3105,365,6737.4,36150.0292,0
1648512300000,5.368,5.374,5.353,5.361,7917.9,1648512359999,42466.6755,320,4845.4,25994.0629,0
1648512360000,5.360,5.360,5.338,5.343,6770.0,1648512419999,36183.8510,212,2234.4,11939.6905,0
1648512420000,5.343,5.358,5.336,5.338,6235.8,1648512479999,33344.1706,200,2256.8,12072.9432,0
1648512480000,5.337,5.365,5.337,5.361,6924.6,1648512539999,37073.0714,189,5140.3,27522.8609,0
1648512540000,5.362,5.384,5.362,5.383,7385.7,1648512599999,39694.8504,244,5046.6,27118.7676,0
1648512600000,5.383,5.400,5.383,5.393,26432.2,1648512659999,142518.3387,498,19102.6,103000.9604,0
1648512660000,5.393,5.396,5.383,5.396,6237.4,1648512719999,33607.8446,190,4006.6,21587.3070,0
1648512720000,5.396,5.398,5.380,5.384,13004.0,1648512779999,70075.9675,336,4233.7,22825.0681,0
1648512780000,5.382,5.387,5.356,5.364,21853.1,1648512839999,117340.9437,393,4000.6,21483.0503,0
1648512840000,5.365,5.369,5.354,5.358,7572.2,1648512899999,40599.5836,186,3413.3,18306.0289,0
1648512900000,5.359,5.379,5.359,5.379,5945.8,1648512959999,31907.7375,182,3857.7,20702.9054,0
1648512960000,5.381,5.395,5.379,5.395,6099.8,1648513019999,32862.5044,216,4183.7,22540.5988,0
1648513020000,5.393,5.393,5.377,5.383,8331.9,1648513079999,44859.3493,220,3872.4,20854.4541,0
1648513080000,5.382,5.382,5.371,5.373,2501.7,1648513139999,13449.2716,106,1221.6,6567.7075,0
1648513140000,5.372,5.372,5.362,5.363,11306.8,1648513199999,60673.2464,205,7536.2,40438.7033,0
1648513200000,5.362,5.362,5.352,5.352,4692.1,1648513259999,25140.8467,155,1611.3,8633.9632,0
1648513260000,5.352,5.365,5.348,5.363,15908.1,1648513319999,85209.6418,224,7706.9,41307.9827,0
1648513320000,5.363,5.374,5.361,5.366,4383.1,1648513379999,23519.2476,151,2501.7,13423.8890,0
1648513380000,5.364,5.366,5.357,5.363,6571.9,1648513439999,35241.4474,174,4709.6,25257.8036,0
1648513440000,5.364,5.378,5.364,5.376,3676.9,1648513499999,19754.4660,139,2226.3,11958.8057,0
1648513500000,5.374,5.377,5.369,5.374,1846.5,1648513559999,9919.7874,72,959.5,5154.8251,0
1648513560000,5.374,5.374,5.358,5.368,9266.4,1648513619999,49714.8374,191,3759.6,20165.5545,0
1648513620000,5.367,5.367,5.355,5.364,10006.1,1648513679999,53655.2874,146,7679.4,41179.7555,0
1648513680000,5.366,5.380,5.362,5.379,6603.4,1648513739999,35450.8693,123,5285.3,28369.5075,0
1648513740000,5.376,5.376,5.369,5.370,4665.9,1648513799999,25071.3842,139,2636.2,14164.1357,0
1648513800000,5.371,5.373,5.364,5.370,6795.1,1648513859999,36477.0229,132,1645.1,8832.7836,0
1648513860000,5.370,5.379,5.370,5.377,4343.1,1648513919999,23347.4670,114,3349.8,18007.1544,0
1648513920000,5.377,5.377,5.373,5.374,2336.2,1648513979999,12557.2363,71,320.4,1721.8184,0
1648513980000,5.374,5.387,5.372,5.381,5564.6,1648514039999,29932.8472,158,3824.4,20570.5527,0
1648514040000,5.382,5.388,5.379,5.385,9376.5,1648514099999,50490.1995,206,5116.3,27548.3371,0
1648514100000,5.386,5.392,5.385,5.390,2759.2,1648514159999,14865.9972,79,1454.0,7834.4788,0
1648514160000,5.392,5.395,5.386,5.394,5524.9,1648514219999,29786.5569,143,2834.1,15280.8896,0
1648514220000,5.394,5.402,5.393,5.402,5181.5,1648514279999,27970.4625,135,4343.3,23445.7136,0
1648514280000,5.401,5.402,5.392,5.393,2370.1,1648514339999,12787.6672,80,632.9,3415.9105,0
1648514340000,5.394,5.398,5.394,5.398,965.7,1648514399999,5211.3371,34,433.0,2336.6708,0
1648514400000,5.399,5.400,5.395,5.397,3919.0,1648514459999,21152.3346,75,1713.7,9250.6231,0
1648514460000,5.398,5.404,5.391,5.396,10962.5,1648514519999,59171.2403,170,4350.0,23485.9644,0
1648514520000,5.394,5.396,5.379,5.388,4995.2,1648514579999,26907.9417,117,2216.9,11945.1419,0
1648514580000,5.388,5.397,5.384,5.390,15018.0,1648514639999,80980.6587,229,11516.8,62106.7869,0
1648514640000,5.390,5.414,5.390,5.405,7133.3,1648514699999,38584.0747,152,5881.9,31814.4664,0
1648514700000,5.407,5.417,5.403,5.417,4729.3,1648514759999,25584.7443,103,1736.7,9396.2540,0
1648514760000,5.416,5.416,5.408,5.412,2792.0,1648514819999,15109.5644,83,1191.1,6446.5814,0
1648514820000,5.413,5.414,5.410,5.413,1465.1,1648514879999,7928.4430,41,191.9,1038.7445,0
1648514880000,5.412,5.415,5.404,5.409,9540.2,1648514939999,51602.2582,147,2104.2,11386.3368,0
1648514940000,5.409,5.412,5.402,5.403,6976.9,1648514999999,37718.0838,112,2003.9,10840.8226,0
1648515000000,5.402,5.403,5.386,5.387,2279.4,1648515059999,12298.3685,76,88.9,480.2810,0
1648515060000,5.387,5.396,5.380,5.393,6090.5,1648515119999,32802.9298,102,1458.9,7866.1344,0
1648515120000,5.391,5.392,5.385,5.385,2691.1,1648515179999,14502.0990,73,1427.9,7694.9245,0
1648515180000,5.383,5.384,5.378,5.384,937.6,1648515239999,5045.2620,48,386.1,2077.7817,0
1648515240000,5.385,5.385,5.375,5.375,6237.2,1648515299999,33543.5791,101,342.8,1843.8649,0
1648515300000,5.375,5.376,5.371,5.372,2436.0,1648515359999,13089.5574,77,466.7,2507.6742,0
