open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,3.3130,3.3130,3.3000,3.3030,22466,1648598459999,74241.9190,371,10796,35687.9480,0
1648598460000,3.3030,3.3030,3.2840,3.2840,79852,1648598519999,262755.9260,590,25835,84990.7720,0
1648598520000,3.2840,3.2860,3.2740,3.2760,29104,1648598579999,95513.3410,321,5240,17191.2140,0
1648598580000,3.2770,3.2890,3.2750,3.2840,23567,1648598639999,77378.4790,398,14231,46723.6300,0
1648598640000,3.2830,3.2980,3.2820,3.2870,49902,1648598699999,164208.7810,535,28734,94566.4700,0
1648598700000,3.2870,3.2900,3.2750,3.2760,34160,1648598759999,112038.0710,370,10936,35869.6140,0
1648598760000,3.2760,3.2810,3.2650,3.2670,54076,1648598819999,176880.0540,498,15577,50939.1750,0
1648598820000,3.2680,3.2690,3.2610,3.2670,70687,1648598879999,230777.9680,435,20571,67188.1940,0
1648598880000,3.2660,3.2830,3.2650,3.2820,31618,1648598939999,103619.6190,294,22889,75037.7160,0
1648598940000,3.2810,3.2920,3.2810,3.2890,13089,1648598999999,43018.3690,153,5829,19163.7060,0
1648599000000,3.2900,3.2900,3.2850,3.2890,7287,1648599059999,23957.4480,109,2448,8049.8960,0
1648599060000,3.2890,3.2900,3.2770,3.2830,56136,1648599119999,184177.2100,481,22755,74651.6330,0
1648599120000,3.2820,3.2820,3.2730,3.2740,14791,1648599179999,48481.1940,193,6306,20674.6290,0
1648599180000,3.2750,3.2780,3.2700,3.2760,9777,1648599239999,32007.7630,131,3749,12276.6020,0
1648599240000,3.2770,3.2860,3.2770,3.2840,22017,1648599299999,72263.9390,191,12321,40439.9100,0
1648599300000,3.2840,3.2840,3.2780,3.2790,19564,1648599359999,64212.4050,166,5837,19160.5470,0
1648599360000,3.2780,3.2780,3.2680,3.2730,34743,1648599419999,113687.2760,265,16545,54156.6740,0
1648599420000,3.2730,3.2810,3.2700,3.2790,10390,1648599479999,34006.7180,122,4466,14620.9100,0
1648599480000,3.2790,3.2790,3.2710,3.2720,26131,1648599539999,85542.3400,190,3163,10356.7840,0
1648599540000,3.2720,3.2760,3.2720,3.2760,9177,1648599599999,30048.9530,86,5271,17261.9920,0
1648599600000,3.2760,3.2770,3.2660,3.2660,21803,1648599659999,71333.2110,222,9170,30006.3420,0
1648599660000,3.2670,3.2720,3.2630,3.2670,26525,1648599719999,86644.8420,167,15348,50155.7480,0
1648599720000,3.2670,3.2700,3.2640,3.2650,12116,1648599779999,39573.5440,107,4440,14507.0200,0
1648599780000,3.2650,3.2670,3.2630,3.2640,6495,1648599839999,21205.0750,92,3353,10948.4220,0
1648599840000,3.2640,3.2660,3.2620,3.2630,7773,1648599899999,25370.6400,100,4032,13162.4090,0
1648599900000,3.2630,3.2660,3.2530,3.2580,61071,1648599959999,199095.1760,274,9834,32049.3000,0
1648599960000,3.2580,3.2600,3.2560,3.2590,5074,1648600019999,16533.2010,92,3020,9840.7980,0
