open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648684800000,0.02132,0.02132,0.02122,0.02122,2924662,1648684859999,62227.66036,149,1040512,22121.24720,0
1648684860000,0.02123,0.02124,0.02107,0.02110,6895389,1648684919999,145901.34967,393,1534326,32439.30693,0
1648684920000,0.02113,0.02119,0.02111,0.02114,4574087,1648684979999,96759.23053,266,1868772,39540.53635,0
1648684980000,0.02114,0.02125,0.02112,0.02125,5033867,1648685039999,106564.11179,332,3393135,71870.08176,0
1648685040000,0.02125,0.02133,0.02121,0.02131,4432425,1648685099999,94326.75443,351,2400129,51104.56262,0
1648685100000,0.02132,0.02135,0.02124,0.02131,5622138,1648685159999,119766.64434,409,2994846,63784.11084,0
1648685160000,0.02132,0.02143,0.02131,0.02134,13135181,1648685219999,280648.64000,778,8344036,178340.17739,0
1648685220000,0.02134,0.02136,0.02132,0.02135,1540239,1648685279999,32871.19957,153,1240463,26475.08537,0
1648685280000,0.02135,0.02137,0.02131,0.02131,1806898,1648685339999,38553.69541,159,557161,11892.93075,0
1648685340000,0.02130,0.02139,0.02130,0.02137,3826547,1648685399999,81663.66185,198,3335586,71192.13286,0
1648685400000,0.02138,0.02141,0.02134,0.02136,3251436,1648685459999,69487.27070,225,1450876,31023.84700,0
1648685460000,0.02135,0.02136,0.02132,0.02134,980797,1648685519999,20933.06682,87,433665,9258.74969,0
1648685520000,0.02134,0.02136,0.02134,0.02135,701158,1648685579999,14973.15751,85,425524,9088.13280,0
1648685580000,0.02136,0.02138,0.02135,0.02137,839106,1648685639999,17926.44210,96,566080,12093.56581,0
1648685640000,0.02137,0.02138,0.02135,0.02136,1423595,1648685699999,30417.30576,107,579593,12384.01411,0
1648685700000,0.02135,0.02149,0.02133,0.02145,6193525,1648685759999,132612.13720,367,5063408,108407.91334,0
1648685760000,0.02144,0.02149,0.02142,0.02145,2045237,1648685819999,43889.81066,206,805595,17295.71250,0
1648685820000,0.02145,0.02147,0.02140,0.02145,2531907,1648685879999,54282.59857,216,1514923,32487.48277,0
1648685880000,0.02144,0.02145,0.02143,0.02144,346809,1648685939999,7435.59624,78,153352,3288.88044,0
1648685940000,0.02144,0.02150,0.02143,0.02150,1969487,1648685999999,42271.01679,138,1422317,30535.03670,0
1648686000000,0.02150,0.02150,0.02146,0.02150,1642249,1648686059999,35291.77146,256,1498913,32213.69267,0
1648686060000,0.02150,0.02151,0.02147,0.02147,614751,1648686119999,13208.46424,164,288885,6208.52782,0
1648686120000,0.02148,0.02153,0.02147,0.02152,1332803,1648686179999,28659.99122,313,1229403,26436.30790,0
1648686180000,0.02153,0.02154,0.02150,0.02150,593588,1648686239999,12769.14548,71,177809,3828.35314,0
1648686240000,0.02151,0.02151,0.02149,0.02150,737882,1648686299999,15863.98207,73,400241,8605.62688,0
1648686300000,0.02149,0.02150,0.02145,0.02146,2205296,1648686359999,47348.48931,150,658970,14149.28352,0
1648686360000,0.02146,0.02150,0.02144,0.02149,2197056,1648686419999,47158.90954,169,1075643,23103.44682,0
1648686420000,0.02149,0.02153,0.02149,0.02151,1450594,1648686479999,31201.70788,147,1199859,25809.10121,0
1648686480000,0.02152,0.02154,0.02150,0.02151,1500156,1648686539999,32271.93364,113,425275,9155.54940,0
1648686540000,0.02152,0.02160,0.02151,0.02158,2237683,1648686599999,48264.56370,231,1288090,27778.15895,0
1648686600000,0.02157,0.02165,0.02156,0.02165,4288097,1648686659999,92698.29111,329,3156174,68231.47545,0
1648686660000,0.02165,0.02170,0.02162,0.02168,3112049,1648686719999,67377.57402,321,1829573,39619.38588,0
1648686720000,0.02169,0.02172,0.02167,0.02171,3138602,1648686779999,68112.75783,254,2008074,43586.47637,0
1648686780000,0.02171,0.02172,0.02166,0.02166,3542046,1648686839999,76833.47526,281,1183692,25686.31603,0
1648686840000,0.02166,0.02166,0.02156,0.02158,5268816,1648686899999,113817.32299,278,581212,12568.42939,0
1648686900000,0.02158,0.02160,0.02155,0.02158,3636376,1648686959999,78467.14773,273,1738043,37519.23881,0
1648686960000,0.02158,0.02158,0.02155,0.02155,1893301,1648687019999,40828.19364,141,362930,7829.77456,0
1648687020000,0.02156,0.02156,0.02152,0.02152,1044644,1648687079999,22496.78041,124,306272,6597.22715,0
1648687080000,0.02152,0.02153,0.02152,0.02153,122820,1648687139999,2643.90513,43,74119,1595.78207,0
1648687140000,0.02153,0.02155,0.02152,0.02154,331824,1648687199999,7146.44879,77,233982,5039.83876,0
1648687200000,0.02155,0.02155,0.02151,0.02152,1001015,1648687259999,21543.69397,142,394884,8500.67232,0
1648687260000,0.02152,0.02152,0.02148,0.02149,1463271,1648687319999,31458.22298,169,377180,8108.72552,0
1648687320000,0.02149,0.02149,0.02146,0.02148,1838441,1648687379999,39482.27541,149,477299,10254.80173,0
1648687380000,0.02148,0.02151,0.02147,0.02150,1038083,1648687439999,22313.90203,106,407275,8754.64079,0
1648687440000,0.02149,0.02150,0.02148,0.02148,186610,1648687499999,4010.30256,53,57985,1246.47285,0
1648687500000,0.02148,0.02151,0.02146,0.02150,896349,1648687559999,19258.80436,135,528306,11352.73529,0
1648687560000,0.02149,0.02152,0.02145,0.02146,4064236,1648687619999,87258.79981,250,1074722,23089.63548,0
1648687620000,0.02146,0.02147,0.02145,0.02147,651444,1648687679999,13980.93128,88,183634,3941.98785,0
1648687680000,0.02147,0.02147,0.02133,0.02136,3682286,1648687739999,78706.02683,323,610645,13057.17133,0
1648687740000,0.02136,0.02140,0.02134,0.02140,2292535,1648687799999,49021.54840,294,1272965,27223.52695,0
1648687800000,0.02141,0.02141,0.02137,0.02139,1357009,1648687859999,29019.17178,131,439020,9391.36730,0
1648687860000,0.02140,0.02140,0.02137,0.02139,1407879,1648687919999,30111.81943,94,379485,8117.86633,0
1648687920000,0.02139,0.02139,0.02128,0.02129,3434068,1648687979999,73222.06084,339,1132162,24156.17715,0
1648687980000,0.02130,0.02135,0.02129,0.02134,1098226,1648688039999,23426.20778,109,815401,17393.59376,0
1648688040000,0.02134,0.02134,0.02128,0.02130,1587319,1648688099999,33814.13425,137,484703,10330.26089,0
1648688100000,0.02130,0.02133,0.02129,0.02130,1783359,1648688159999,38008.53663,160,773826,16501.14923,0
1648688160000,0.02131,0.02131,0.02126,0.02130,3163862,1648688219999,67311.64743,198,1025445,21819.46204,0
1648688220000,0.02130,0.02130,0.02126,0.02127,1352938,1648688279999,28777.98364,81,170839,3635.69305,0
1648688280000,0.02127,0.02128,0.02125,0.02128,621605,1648688339999,13219.29668,50,187300,3983.58980,0
1648688340000,0.02128,0.02129,0.02123,0.02124,2466659,1648688399999,52422.47573,166,296076,6292.57796,0
1648688400000,0.02124,0.02129,0.02123,0.02129,764116,1648688459999,16245.95020,95,534548,11368.59695,0
1648688460000,0.02128,0.02130,0.02127,0.02128,1206503,1648688519999,25687.46776,143,447298,9526.80837,0
1648688520000,0.02128,0.02134,0.02125,0.02133,4970103,1648688579999,105787.93878,280,2771132,59018.24806,0
1648688580000,0.02133,0.02134,0.02130,0.02131,1271004,1648688639999,27098.33189,103,178653,3810.43636,0
1648688640000,0.02131,0.02135,0.02128,0.02135,1231679,1648688699999,26268.66117,104,1108194,23638.39264,0
1648688700000,0.02136,0.02140,0.02135,0.02139,2201134,1648688759999,47058.55917,154,1829442,39114.62190,0
1648688760000,0.02139,0.02141,0.02137,0.02140,1966096,1648688819999,42063.26266,102,1240566,26548.31728,0
1648688820000,0.02139,0.02140,0.02137,0.02138,967796,1648688879999,20696.14493,101,350327,7494.73261,0
1648688880000,0.02139,0.02143,0.02138,0.02140,1742756,1648688939999,37313.09986,126,1362195,29167.44611,0
1648688940000,0.02140,0.02147,0.02138,0.02146,3407552,1648688999999,72993.28187,153,2935916,62892.61411,0
1648689000000,0.02145,0.02146,0.02143,0.02143,787649,1648689059999,16890.90059,77,203362,4362.42412,0
1648689060000,0.02143,0.02150,0.02143,0.02147,1380412,1648689119999,29642.48515,142,935663,20092.80345,0
1648689120000,0.02147,0.02157,0.02147,0.02153,3367829,1648689179999,72506.86328,207,2886039,62130.32999,0
1648689180000,0.02154,0.02157,0.02154,0.02155,573802,1648689239999,12367.06199,46,382355,8242.70465,0
1648689240000,0.02154,0.02155,0.02152,0.02153,950341,1648689299999,20462.34352,75,366512,7892.40470,0
1648689300000,0.02153,0.02161,0.02153,0.02156,3141855,1648689359999,67805.88918,139,1941537,41900.18886,0
1648689360000,0.02156,0.02158,0.02155,0.02157,790575,1648689419999,17044.99163,109,263289,5677.82053,0
1648689420000,0.02155,0.02158,0.02155,0.02156,433988,1648689479999,9360.54574,50,328891,7095.15328,0
1648689480000,0.02156,0.02157,0.02154,0.02155,525524,1648689539999,11326.71320,58,103559,2232.07001,0
1648689540000,0.02155,0.02160,0.02154,0.02160,587865,1648689599999,12683.15289,68,269474,5811.85726,0
1648689600000,0.02160,0.02169,0.02158,0.02167,2135163,1648689659999,46182.65771,314,1672999,36188.49043,0
1648689660000,0.02167,0.02170,0.02162,0.02169,4045615,1648689719999,87606.53790,341,1519621,32925.85197,0
1648689720000,0.02169,0.02170,0.02169,0.02169,364068,1648689779999,7898.07342,108,143850,3121.54500,0
1648689780000,0.02169,0.02171,0.02166,0.02167,1272849,1648689839999,27595.73384,149,529311,11480.33705,0
1648689840000,0.02168,0.02169,0.02166,0.02167,380109,1648689899999,8238.18377,60,95708,2075.52788,0
1648689900000,0.02167,0.02168,0.02158,0.02165,4405590,1648689959999,95319.93372,240,2130200,46097.45436,0
1648689960000,0.02164,0.02171,0.02162,0.02170,4773838,1648690019999,103463.27394,218,3618961,78435.83832,0
1648690020000,0.02170,0.02182,0.02170,0.02173,11175625,1648690079999,243165.33734,629,7046457,153312.86412,0
1648690080000,0.02175,0.02175,0.02172,0.02174,1298534,1648690139999,28219.53848,109,730854,15883.20908,0
1648690140000,0.02174,0.02176,0.02174,0.02176,504172,1648690199999,10966.42502,68,424786,9240.49556,0
1648690200000,0.02176,0.02178,0.02171,0.02171,1679379,1648690259999,36532.69859,128,271110,5900.04825,0
1648690260000,0.02172,0.02173,0.02162,0.02163,8253384,1648690319999,178921.38110,423,1450825,31480.99217,0
1648690320000,0.02164,0.02173,0.02163,0.02171,2511078,1648690379999,54501.93078,159,1782629,38684.57933,0
1648690380000,0.02170,0.02171,0.02164,0.02169,3239453,1648690439999,70253.40574,184,1224661,26565.57676,0
1648690440000,0.02169,0.02170,0.02168,0.02168,370998,1648690499999,8048.69913,59,244441,5303.82263,0
1648690500000,0.02168,0.02169,0.02163,0.02165,1824705,1648690559999,39519.83439,117,235028,5092.49948,0
1648690560000,0.02165,0.02166,0.02162,0.02162,377523,1648690619999,8169.32454,65,91295,1975.81744,0
1648690620000,0.02163,0.02163,0.02160,0.02161,1853279,1648690679999,40044.69795,116,516130,11156.78507,0
1648690680000,0.02162,0.02164,0.02161,0.02163,1307065,1648690739999,28268.29448,129,854733,18487.79980,0
1648690740000,0.02163,0.02183,0.02162,0.02180,5782292,1648690799999,125796.04504,403,4671560,101653.44974,0
1648690800000,0.02180,0.02218,0.02173,0.02209,31690309,1648690859999,697036.83016,2070,19481678,428255.42122,0
1648690860000,0.02210,0.02236,0.02207,0.02231,18586104,1648690919999,413064.79523,1745,10082714,224068.62337,0
1648690920000,0.02230,0.02234,0.02214,0.02220,10125176,1648690979999,225096.64862,834,3835271,85306.64497,0
1648690980000,0.02220,0.02244,0.02218,0.02237,8713342,1648691039999,194309.76513,636,5916964,131925.66299,0
1648691040000,0.02238,0.02251,0.02232,0.02235,14513893,1648691099999,325558.55452,928,6691633,150233.42255,0
1648691100000,0.02235,0.02236,0.02217,0.02221,12949034,1648691159999,288221.60949,763,4287663,95491.23207,0
1648691160000,0.02220,0.02228,0.02207,0.02212,16538507,1648691219999,366819.90745,1218,6021291,133683.99040,0
1648691220000,0.02212,0.02221,0.02211,0.02219,10033766,1648691279999,222274.34535,692,7337352,162582.68410,0
1648691280000,0.02221,0.02233,0.02220,0.02222,13320781,1648691339999,296541.54461,557,5763295,128330.48196,0
1648691340000,0.02222,0.02224,0.02205,0.02212,9507901,1648691399999,210447.30791,590,3573903,79127.70211,0
1648691400000,0.02213,0.02220,0.02209,0.02218,1996266,1648691459999,44209.67159,264,914943,20269.35825,0
