open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,1.6303,1.6308,1.6257,1.6304,139292.7,1648598459999,226811.88409,518,26924.4,43827.21864,0
1648598460000,1.6299,1.6303,1.6249,1.6263,47217.1,1648598519999,76828.53253,236,27081.7,44072.86538,0
1648598520000,1.6244,1.6260,1.6220,1.6220,26139.9,1648598579999,42444.73679,131,14317.3,23249.73783,0
1648598580000,1.6222,1.6248,1.6218,1.6246,18023.1,1648598639999,29259.22750,129,13037.7,21163.84021,0
1648598640000,1.6247,1.6304,1.6247,1.6274,36106.2,1648598699999,58796.46744,225,29877.2,48654.43144,0
1648598700000,1.6278,1.6284,1.6217,1.6220,24543.7,1648598759999,39850.32898,165,4547.9,7385.01375,0
1648598760000,1.6218,1.6244,1.6195,1.6195,16837.2,1648598819999,27307.31128,162,7082.9,11490.63309,0
1648598820000,1.6197,1.6215,1.6174,1.6191,57103.2,1648598879999,92450.98076,181,36674.8,59377.13745,0
1648598880000,1.6194,1.6244,1.6193,1.6244,45480.5,1648598939999,73758.57274,159,36719.1,59561.47883,0
1648598940000,1.6245,1.6281,1.6240,1.6275,16618.5,1648598999999,27021.57397,118,7392.4,12017.82487,0
1648599000000,1.6282,1.6304,1.6275,1.6295,18632.3,1648599059999,30345.74265,110,8564.3,13956.10750,0
1648599060000,1.6294,1.6322,1.6294,1.6312,28669.5,1648599119999,46743.89615,139,9607.0,15668.96584,0
1648599120000,1.6310,1.6320,1.6269,1.6285,29322.5,1648599179999,47782.37954,162,13051.8,21277.52574,0
1648599180000,1.6283,1.6286,1.6242,1.6253,19418.0,1648599239999,31580.43338,104,10396.0,16905.09909,0
1648599240000,1.6254,1.6314,1.6254,1.6314,20296.4,1648599299999,33027.53937,125,16442.8,26754.79620,0
1648599300000,1.6312,1.6361,1.6295,1.6296,53727.3,1648599359999,87700.78030,271,25446.4,41553.38313,0
1648599360000,1.6294,1.6296,1.6263,1.6281,36658.1,1648599419999,59657.22017,173,19052.2,31011.28759,0
1648599420000,1.6279,1.6302,1.6248,1.6284,27298.2,1648599479999,44424.00348,146,5698.0,9275.77573,0
1648599480000,1.6282,1.6292,1.6267,1.6282,6608.7,1648599539999,10757.93007,77,3634.4,5917.12773,0
1648599540000,1.6280,1.6290,1.6276,1.6279,8935.5,1648599599999,14549.97285,54,6196.3,10090.60618,0
1648599600000,1.6280,1.6282,1.6236,1.6236,24543.9,1648599659999,39892.68586,87,1504.2,2444.94993,0
1648599660000,1.6237,1.6244,1.6221,1.6233,23281.2,1648599719999,37793.80515,108,8820.4,14318.53728,0
1648599720000,1.6232,1.6239,1.6201,1.6202,12223.6,1648599779999,19826.55780,77,757.7,1229.28851,0
1648599780000,1.6202,1.6215,1.6175,1.6186,45028.1,1648599839999,72879.32105,207,4723.6,7649.39574,0
1648599840000,1.6189,1.6198,1.6161,1.6183,33428.5,1648599899999,54082.00494,156,13726.5,22221.30787,0
1648599900000,1.6184,1.6191,1.6127,1.6145,49903.8,1648599959999,80570.09825,259,9639.7,15566.92644,0
1648599960000,1.6146,1.6152,1.6135,1.6146,20205.2,1648600019999,32618.68169,210,10782.5,17409.41887,0
1648600020000,1.6146,1.6174,1.6144,1.6161,27382.5,1648600079999,44245.69044,214,18825.4,30416.66110,0
1648600080000,1.6159,1.6165,1.6145,1.6164,16865.6,1648600139999,27248.03817,126,10611.4,17143.48649,0
1648600140000,1.6164,1.6167,1.6145,1.6152,10511.5,1648600199999,16989.52449,66,1912.9,3091.29923,0
1648600200000,1.6151,1.6160,1.6130,1.6131,21662.2,1648600259999,34982.50199,139,5968.0,9636.09002,0
1648600260000,1.6133,1.6142,1.6059,1.6067,41003.6,1648600319999,65993.37035,283,12107.9,19507.31245,0
1648600320000,1.6066,1.6082,1.6018,1.6031,27136.5,1648600379999,43541.02243,259,9078.6,14569.68451,0
1648600380000,1.6032,1.6034,1.5971,1.5971,43777.8,1648600439999,70030.13647,306,21543.2,34458.97828,0
1648600440000,1.5972,1.6025,1.5970,1.6009,29406.4,1648600499999,47057.32621,244,17861.5,28590.62229,0
1648600500000,1.6012,1.6057,1.5997,1.6041,40900.0,1648600559999,65608.06656,252,22070.8,35405.04638,0
1648600560000,1.6041,1.6070,1.6027,1.6053,29453.0,1648600619999,47262.54948,185,18870.7,30284.14446,0
1648600620000,1.6056,1.6058,1.6011,1.6013,11596.4,1648600679999,18589.92120,101,5194.7,8326.21294,0
1648600680000,1.6013,1.6092,1.6013,1.6092,13226.2,1648600739999,21246.49768,135,9917.4,15930.28314,0
1648600740000,1.6095,1.6117,1.6072,1.6093,43601.7,1648600799999,70152.09845,214,23322.4,37534.39481,0
1648600800000,1.6087,1.6101,1.6081,1.6086,38226.7,1648600859999,61536.31088,98,6637.9,10683.86867,0
1648600860000,1.6088,1.6096,1.6070,1.6096,18689.7,1648600919999,30054.01831,105,3173.0,5104.03073,0
1648600920000,1.6098,1.6103,1.6076,1.6094,11875.9,1648600979999,19107.15822,121,8118.9,13064.05835,0
1648600980000,1.6090,1.6110,1.6080,1.6090,6930.5,1648601039999,11153.21415,88,3127.0,5031.94422,0
1648601040000,1.6085,1.6147,1.6085,1.6137,27442.4,1648601099999,44255.45466,163,16923.4,27289.96027,0
1648601100000,1.6135,1.6138,1.6093,1.6093,9154.6,1648601159999,14762.11403,84,2789.3,4498.85543,0
1648601160000,1.6092,1.6097,1.6055,1.6059,24480.2,1648601219999,39344.03399,144,5804.0,9331.71818,0
1648601220000,1.6063,1.6070,1.6044,1.6064,3669.9,1648601279999,5892.85478,42,2037.9,3271.69094,0
1648601280000,1.6063,1.6087,1.6063,1.6085,6992.1,1648601339999,11238.91760,67,6651.8,10691.67851,0
1648601340000,1.6085,1.6096,1.6052,1.6068,6755.0,1648601399999,10859.22154,65,4135.3,6648.85305,0
1648601400000,1.6067,1.6074,1.6037,1.6074,14465.8,1648601459999,23221.01734,102,6936.1,11133.50247,0
1648601460000,1.6077,1.6118,1.6077,1.6114,14399.4,1648601519999,23187.32090,108,9794.4,15772.99590,0
1648601520000,1.6118,1.6170,1.6118,1.6164,24356.0,1648601579999,39315.11725,179,15302.4,24702.65090,0
1648601580000,1.6164,1.6202,1.6162,1.6183,25416.8,1648601639999,41113.03452,207,12586.3,20362.36965,0
1648601640000,1.6183,1.6198,1.6173,1.6173,12263.1,1648601699999,19846.15821,105,5268.5,8528.73842,0
1648601700000,1.6175,1.6197,1.6158,1.6189,12418.6,1648601759999,20096.56645,113,3464.0,5605.61325,0
1648601760000,1.6191,1.6193,1.6147,1.6155,26023.5,1648601819999,42050.60047,123,13795.7,22291.54768,0
