open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,1.5480,1.5544,1.5464,1.5469,16005,1648771259999,24822.8758,176,5966,9260.8346,0
1648771260000,1.5465,1.5483,1.5405,1.5405,10343,1648771319999,15969.7316,129,1641,2534.6589,0
1648771320000,1.5410,1.5568,1.5408,1.5560,33532,1648771379999,51903.3346,213,28019,43388.0245,0
1648771380000,1.5571,1.5577,1.5527,1.5547,33623,1648771439999,52286.8495,166,21624,33623.0163,0
1648771440000,1.5554,1.5620,1.5554,1.5620,14153,1648771499999,22053.6601,176,7635,11898.7625,0
1648771500000,1.5614,1.5653,1.5602,1.5644,9530,1648771559999,14887.5546,128,5070,7921.3224,0
1648771560000,1.5643,1.5695,1.5643,1.5671,26656,1648771619999,41772.4760,223,16870,26441.2072,0
1648771620000,1.5671,1.5717,1.5670,1.5697,24796,1648771679999,38905.0579,169,15013,23557.5095,0
1648771680000,1.5691,1.5691,1.5587,1.5636,42059,1648771739999,65727.7941,213,3860,6032.8730,0
1648771740000,1.5636,1.5696,1.5607,1.5686,19509,1648771799999,30516.3308,176,13260,20753.2185,0
1648771800000,1.5688,1.5691,1.5598,1.5611,8800,1648771859999,13748.5770,86,3217,5024.2910,0
1648771860000,1.5605,1.5653,1.5605,1.5648,4646,1648771919999,7259.0070,66,3585,5601.4811,0
1648771920000,1.5640,1.5698,1.5637,1.5689,5533,1648771979999,8669.4139,49,4261,6674.5527,0
1648771980000,1.5688,1.5722,1.5686,1.5706,9920,1648772039999,15584.5294,108,5675,8915.7922,0
1648772040000,1.5714,1.5731,1.5695,1.5718,10221,1648772099999,16054.9946,96,2699,4241.9503,0
1648772100000,1.5719,1.5725,1.5670,1.5683,15739,1648772159999,24688.2455,108,5810,9110.6452,0
1648772160000,1.5683,1.5683,1.5640,1.5651,10189,1648772219999,15950.3067,96,5104,7991.3539,0
1648772220000,1.5660,1.5726,1.5645,1.5717,9461,1648772279999,14839.3968,83,7844,12306.9627,0
1648772280000,1.5723,1.5723,1.5649,1.5649,18842,1648772339999,29573.2746,118,15804,24809.0362,0
1648772340000,1.5647,1.5668,1.5628,1.5663,3994,1648772399999,6249.3055,65,2741,4289.3793,0
1648772400000,1.5662,1.5669,1.5648,1.5665,3614,1648772459999,5660.2492,56,2519,3945.5919,0
1648772460000,1.5664,1.5674,1.5646,1.5663,14262,1648772519999,22331.8338,53,3396,5319.3610,0
1648772520000,1.5663,1.5719,1.5663,1.5709,7304,1648772579999,11470.6507,83,5199,8164.1120,0
1648772580000,1.5709,1.5751,1.5709,1.5739,6835,1648772639999,10753.7734,73,2731,4297.6879,0
1648772640000,1.5747,1.5768,1.5733,1.5755,8517,1648772699999,13417.4253,102,7401,11659.8028,0
1648772700000,1.5762,1.5799,1.5749,1.5787,16452,1648772759999,25971.6152,158,8466,13363.4377,0
1648772760000,1.5787,1.5878,1.5782,1.5840,125600,1648772819999,198753.0860,792,66526,105318.2144,0
1648772820000,1.5836,1.5850,1.5783,1.5816,10331,1648772879999,16337.3650,113,3465,5483.1131,0
1648772880000,1.5816,1.5829,1.5802,1.5805,36429,1648772939999,57615.3693,110,5412,8558.5722,0
1648772940000,1.5810,1.5854,1.5810,1.5834,8364,1648772999999,13242.0135,86,7486,11851.5428,0
1648773000000,1.5840,1.5857,1.5767,1.5780,26377,1648773059999,41702.7035,127,21576,34109.0925,0
1648773060000,1.5781,1.5835,1.5770,1.5770,26329,1648773119999,41625.9419,175,18512,29284.3161,0
1648773120000,1.5774,1.5774,1.5690,1.5709,69173,1648773179999,108893.1172,466,11194,17603.1321,0
1648773180000,1.5712,1.5745,1.5686,1.5697,21573,1648773239999,33896.2870,148,16023,25182.2699,0
1648773240000,1.5694,1.5759,1.5694,1.5751,14910,1648773299999,23452.3285,128,11476,18054.0379,0
1648773300000,1.5760,1.5865,1.5747,1.5784,42892,1648773359999,67847.6228,385,28103,44449.6173,0
1648773360000,1.5784,1.5900,1.5784,1.5893,28806,1648773419999,45693.5561,209,12657,20077.1501,0
1648773420000,1.5890,1.5906,1.5856,1.5865,28943,1648773479999,45952.1986,154,3508,5573.8964,0
1648773480000,1.5861,1.5903,1.5852,1.5872,9217,1648773539999,14627.5841,100,3311,5257.4356,0
1648773540000,1.5872,1.5888,1.5857,1.5859,10432,1648773599999,16555.8043,175,5594,8878.7395,0
1648773600000,1.5871,1.5884,1.5861,1.5876,6762,1648773659999,10731.6637,141,3034,4816.0390,0
1648773660000,1.5876,1.5876,1.5845,1.5870,6315,1648773719999,10014.0397,90,1512,2397.9591,0
1648773720000,1.5867,1.5879,1.5842,1.5879,5400,1648773779999,8563.9848,83,2298,3645.8229,0
1648773780000,1.5871,1.5871,1.5824,1.5857,17273,1648773839999,27362.7609,119,3778,5984.6050,0
1648773840000,1.5865,1.5878,1.5862,1.5873,2934,1648773899999,4656.2905,46,1114,1767.8716,0
1648773900000,1.5873,1.5883,1.5843,1.5883,4624,1648773959999,7335.3594,50,4270,6773.7305,0
1648773960000,1.5875,1.5884,1.5860,1.5884,3013,1648774019999,4781.8023,45,2261,3588.6008,0
1648774020000,1.5881,1.5888,1.5848,1.5851,14621,1648774079999,23203.9092,102,3725,5914.8726,0
1648774080000,1.5855,1.5878,1.5847,1.5852,12110,1648774139999,19208.2696,68,1337,2121.3454,0
1648774140000,1.5862,1.5899,1.5858,1.5887,4995,1648774199999,7931.4755,50,826,1311.0620,0
1648774200000,1.5885,1.5905,1.5882,1.5890,2161,1648774259999,3434.3549,50,1220,1939.0239,0
1648774260000,1.5891,1.5899,1.5877,1.5897,5177,1648774319999,8225.5802,47,2599,4129.3851,0
1648774320000,1.5895,1.5923,1.5892,1.5915,11835,1648774379999,18826.9215,200,10877,17303.9455,0
1648774380000,1.5912,1.5915,1.5863,1.5864,5160,1648774439999,8192.1938,48,104,165.1200,0
1648774440000,1.5878,1.5889,1.5833,1.5846,6905,1648774499999,10950.2028,73,1822,2892.7383,0
1648774500000,1.5852,1.5870,1.5785,1.5834,16327,1648774559999,25809.4913,131,3545,5612.7039,0
1648774560000,1.5837,1.5840,1.5821,1.5824,3781,1648774619999,5985.8345,52,1734,2745.4915,0
1648774620000,1.5820,1.5820,1.5763,1.5773,20251,1648774679999,31945.6928,111,1109,1750.3689,0
1648774680000,1.5772,1.5801,1.5751,1.5786,9431,1648774739999,14878.6135,83,6603,10419.5913,0
1648774740000,1.5789,1.5834,1.5774,1.5805,15941,1648774799999,25183.4199,114,4005,6331.5450,0
1648774800000,1.5803,1.5803,1.5732,1.5738,18288,1648774859999,28815.3605,182,7210,11367.6022,0
1648774860000,1.5736,1.5790,1.5734,1.5781,7614,1648774919999,12002.6761,87,6439,10151.7334,0
1648774920000,1.5786,1.5795,1.5748,1.5767,20962,1648774979999,33046.9875,94,12780,20152.9078,0
1648774980000,1.5755,1.5767,1.5736,1.5756,4533,1648775039999,7141.7768,58,2723,4291.8591,0
1648775040000,1.5754,1.5759,1.5730,1.5747,8868,1648775099999,13959.2179,71,3871,6093.3068,0
1648775100000,1.5746,1.5760,1.5732,1.5745,2570,1648775159999,4046.5015,41,917,1443.9484,0
1648775160000,1.5746,1.5787,1.5690,1.5708,13688,1648775219999,21544.0136,149,2917,4598.0081,0
1648775220000,1.5699,1.5727,1.5688,1.5724,5933,1648775279999,9315.8109,64,2464,3870.0625,0
1648775280000,1.5726,1.5739,1.5720,1.5739,4912,1648775339999,7728.4389,37,3213,5055.5877,0
1648775340000,1.5741,1.5743,1.5701,1.5701,6583,1648775399999,10353.2859,59,1808,2842.9501,0
1648775400000,1.5699,1.5707,1.5690,1.5700,7999,1648775459999,12558.0501,81,2610,4098.0148,0
1648775460000,1.5702,1.5715,1.5689,1.5710,5359,1648775519999,8413.6658,59,2535,3981.5021,0
1648775520000,1.5713,1.5739,1.5697,1.5707,4781,1648775579999,7517.3280,53,3968,6239.6570,0
1648775580000,1.5706,1.5706,1.5692,1.5693,10161,1648775639999,15953.1719,44,8870,13926.3583,0
1648775640000,1.5697,1.5747,1.5692,1.5735,10039,1648775699999,15783.6805,73,6259,9840.3929,0
1648775700000,1.5730,1.5764,1.5709,1.5751,10250,1648775759999,16124.0026,69,3852,6060.3938,0
1648775760000,1.5748,1.5810,1.5748,1.5791,12981,1648775819999,20495.2713,128,9256,14612.9992,0
1648775820000,1.5798,1.5825,1.5798,1.5817,7899,1648775879999,12488.4497,70,4917,7774.8795,0
1648775880000,1.5817,1.5826,1.5785,1.5799,2640,1648775939999,4173.6344,46,1877,2967.7362,0
1648775940000,1.5802,1.5808,1.5789,1.5789,1021,1648775999999,1613.4553,27,613,968.7042,0
1648776000000,1.5781,1.5782,1.5749,1.5766,6110,1648776059999,9634.8580,60,1629,2568.7827,0
