open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,11.4000,11.4160,11.3930,11.4010,6565,1648425659999,74847.8210,227,2614,29805.1080,0
1648425660000,11.4020,11.4190,11.3950,11.3980,3900,1648425719999,44475.0470,200,1177,13422.6120,0
1648425720000,11.3980,11.4360,11.3980,11.4240,21743,1648425779999,248380.8600,449,12688,144943.1460,0
1648425780000,11.4200,11.4230,11.3900,11.3900,4855,1648425839999,55387.9220,201,1058,12076.3890,0
1648425840000,11.3900,11.3960,11.3610,11.3610,11621,1648425899999,132218.7060,305,5170,58835.5220,0
1648425900000,11.3610,11.3720,11.3360,11.3390,7964,1648425959999,90438.5250,289,2799,31804.8860,0
1648425960000,11.3400,11.3510,11.3110,11.3200,14694,1648426019999,166425.2150,384,5176,58657.2490,0
1648426020000,11.3210,11.3220,11.2670,11.3020,42410,1648426079999,478696.2050,701,9287,104871.0540,0
1648426080000,11.3040,11.3140,11.2800,11.2910,8117,1648426139999,91651.5880,206,5339,60278.6540,0
1648426140000,11.2910,11.3040,11.2870,11.2970,4613,1648426199999,52105.4300,175,1800,20337.2030,0
1648426200000,11.2970,11.3180,11.2920,11.3170,4528,1648426259999,51164.5170,173,2196,24819.8420,0
1648426260000,11.3170,11.3170,11.3030,11.3100,3293,1648426319999,37234.5210,207,1041,11771.0680,0
1648426320000,11.3100,11.3130,11.2920,11.2920,4350,1648426379999,49163.2500,232,1734,19595.8830,0
1648426380000,11.2950,11.3190,11.2940,11.3020,3944,1648426439999,44606.8050,141,2997,33894.4480,0
1648426440000,11.3020,11.3090,11.2980,11.3030,2732,1648426499999,30878.4210,131,1252,14149.2340,0
1648426500000,11.3030,11.3280,11.2900,11.3110,33361,1648426559999,377316.3670,582,26824,303383.0460,0
1648426560000,11.3130,11.3230,11.2880,11.2880,5881,1648426619999,66500.7570,193,1327,15011.1970,0
1648426620000,11.2890,11.2920,11.2630,11.2790,40186,1648426679999,453072.0700,685,9123,102862.7770,0
1648426680000,11.2800,11.2920,11.2730,11.2770,5967,1648426739999,67317.9180,196,3429,38689.6220,0
1648426740000,11.2750,11.2920,11.2730,11.2860,16070,1648426799999,181272.3920,193,13732,154896.4710,0
1648426800000,11.2860,11.2950,11.2860,11.2910,819,1648426859999,9246.5950,92,496,5599.7450,0
1648426860000,11.2900,11.3070,11.2850,11.3050,3939,1648426919999,44507.6710,115,2008,22690.2120,0
1648426920000,11.3030,11.3140,11.2960,11.2990,2074,1648426979999,23441.6290,97,1251,14142.3650,0
1648426980000,11.2990,11.3060,11.2970,11.3010,417,1648427039999,4712.5070,53,176,1989.2620,0
1648427040000,11.3020,11.3040,11.2800,11.2810,2954,1648427099999,33359.5360,101,538,6076.7410,0
1648427100000,11.2830,11.3230,11.2830,11.3130,26465,1648427159999,299307.6420,379,24021,271660.6200,0
1648427160000,11.3130,11.3190,11.3090,11.3110,2595,1648427219999,29359.8580,118,1285,14541.4320,0
1648427220000,11.3110,11.3290,11.3070,11.3290,3176,1648427279999,35941.6080,103,1783,20173.7980,0
