open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648425600000,0.8579,0.8580,0.8572,0.8572,44627.0,1648425659999,38272.82622,95,12927.9,11088.11237,0
1648425660000,0.8572,0.8585,0.8570,0.8585,46037.2,1648425719999,39484.92777,174,32249.7,27666.39907,0
1648425720000,0.8584,0.8594,0.8583,0.8589,89740.1,1648425779999,77086.68371,271,57161.7,49103.99508,0
1648425780000,0.8588,0.8588,0.8563,0.8565,102713.7,1648425839999,88077.58450,345,15076.5,12923.08507,0
1648425840000,0.8564,0.8564,0.8551,0.8556,96051.2,1648425899999,82197.53381,297,29244.3,25024.63468,0
1648425900000,0.8556,0.8556,0.8546,0.8546,30433.2,1648425959999,26023.66703,91,7395.9,6327.82454,0
1648425960000,0.8547,0.8547,0.8539,0.8542,44555.8,1648426019999,38061.47235,147,22803.2,19479.04141,0
1648426020000,0.8541,0.8542,0.8538,0.8541,14361.6,1648426079999,12265.77571,66,8068.8,6891.94601,0
1648426080000,0.8542,0.8554,0.8542,0.8554,34637.7,1648426139999,29609.72330,167,25767.6,22027.30042,0
1648426140000,0.8555,0.8572,0.8555,0.8571,41672.5,1648426199999,35699.76258,287,40524.6,34716.14065,0
1648426200000,0.8569,0.8570,0.8563,0.8568,27043.1,1648426259999,23164.80091,83,7752.9,6640.70318,0
1648426260000,0.8569,0.8575,0.8569,0.8574,11775.2,1648426319999,10094.75106,65,10302.1,8831.68612,0
1648426320000,0.8573,0.8573,0.8565,0.8567,22565.5,1648426379999,19335.39645,101,13776.5,11803.52952,0
1648426380000,0.8566,0.8566,0.8562,0.8562,16795.0,1648426439999,14384.14522,54,8341.0,7143.97375,0
1648426440000,0.8561,0.8561,0.8555,0.8555,42253.8,1648426499999,36163.48080,174,4960.9,4245.75396,0
1648426500000,0.8555,0.8562,0.8555,0.8557,13357.3,1648426559999,11432.15139,61,9812.4,8398.18078,0
1648426560000,0.8557,0.8560,0.8557,0.8558,21279.0,1648426619999,18211.61077,55,8242.1,7053.78665,0
1648426620000,0.8559,0.8562,0.8559,0.8560,8957.2,1648426679999,7668.01344,35,7377.7,6315.93011,0
1648426680000,0.8561,0.8567,0.8552,0.8557,28880.0,1648426739999,24721.06650,161,10717.6,9176.94474,0
1648426740000,0.8557,0.8567,0.8557,0.8564,20423.3,1648426799999,17489.14128,101,15027.0,12866.58747,0
1648426800000,0.8564,0.8564,0.8559,0.8560,12470.8,1648426859999,10676.76234,34,5173.5,4429.99322,0
1648426860000,0.8559,0.8561,0.8559,0.8561,3804.6,1648426919999,3256.49566,17,1354.7,1159.62625,0
1648426920000,0.8561,0.8562,0.8559,0.8562,9329.1,1648426979999,7985.91941,25,4200.0,3595.63219,0
1648426980000,0.8562,0.8565,0.8562,0.8565,3533.6,1648427039999,3026.10396,22,3268.6,2799.21096,0
1648427040000,0.8564,0.8564,0.8560,0.8560,14734.4,1648427099999,12616.25093,53,7401.4,6337.74738,0
1648427100000,0.8560,0.8569,0.8560,0.8569,12520.4,1648427159999,10722.88939,65,12032.4,10304.87390,0
1648427160000,0.8570,0.8571,0.8570,0.8571,4980.3,1648427219999,4268.26956,33,4780.9,4097.36382,0
1648427220000,0.8571,0.8576,0.8571,0.8576,13709.1,1648427279999,11753.70011,69,13417.5,11503.70561,0
1648427280000,0.8577,0.8583,0.8577,0.8583,36516.1,1648427339999,31331.55150,128,24942.1,21398.74470,0
1648427340000,0.8583,0.8586,0.8583,0.8586,20169.2,1648427399999,17314.77622,76,16805.3,14427.54085,0
1648427400000,0.8586,0.8593,0.8585,0.8593,25144.9,1648427459999,21596.98636,120,25086.7,21547.02166,0
1648427460000,0.8593,0.8607,0.8593,0.8602,60913.9,1648427519999,52398.09994,381,47660.7,40996.19958,0
1648427520000,0.8602,0.8688,0.8602,0.8680,874976.0,1648427579999,757374.39101,1902,518470.8,448614.18335,0
1648427580000,0.8680,0.8705,0.8675,0.8705,263707.0,1648427639999,229095.49125,904,121141.3,105273.18085,0
1648427640000,0.8699,0.8707,0.8662,0.8671,432985.2,1648427699999,376024.55439,950,236435.4,205359.69423,0
1648427700000,0.8671,0.8672,0.8658,0.8667,377167.4,1648427759999,327034.16072,470,273276.8,236971.13610,0
1648427760000,0.8668,0.8672,0.8656,0.8659,436295.5,1648427819999,378284.62468,435,329212.8,285482.48277,0
1648427820000,0.8659,0.8672,0.8657,0.8672,145316.5,1648427879999,125963.79757,272,117727.1,102067.65971,0
1648427880000,0.8672,0.8672,0.8658,0.8658,239836.8,1648427939999,207931.15658,355,155774.1,135074.47580,0
1648427940000,0.8658,0.8665,0.8656,0.8658,106745.0,1648427999999,92445.58543,392,32502.0,28153.48499,0
1648428000000,0.8659,0.8667,0.8648,0.8664,173353.6,1648428059999,150063.49104,491,38718.6,33537.50580,0
1648428060000,0.8663,0.8681,0.8662,0.8681,326055.8,1648428119999,282710.00064,471,284834.5,246986.01071,0
1648428120000,0.8682,0.8685,0.8676,0.8676,82394.9,1648428179999,71532.09504,244,25888.6,22477.81507,0
1648428180000,0.8676,0.8679,0.8667,0.8669,40584.7,1648428239999,35192.79465,151,15033.8,13038.06896,0
1648428240000,0.8669,0.8672,0.8667,0.8671,31547.4,1648428299999,27350.09420,111,20963.9,18175.15447,0
1648428300000,0.8671,0.8674,0.8642,0.8642,120352.2,1648428359999,104216.47130,416,19579.8,16961.40725,0
1648428360000,0.8641,0.8645,0.8633,0.8639,144637.9,1648428419999,124964.18755,343,64349.6,55599.75217,0
1648428420000,0.8638,0.8648,0.8606,0.8610,405280.2,1648428479999,349650.49995,941,186459.7,160864.63615,0
1648428480000,0.8611,0.8624,0.8594,0.8609,192595.2,1648428539999,165768.17666,727,120616.1,103817.50590,0
1648428540000,0.8610,0.8611,0.8603,0.8608,34021.6,1648428599999,29280.06850,153,13144.9,11315.12271,0
1648428600000,0.8608,0.8612,0.8597,0.8607,85142.6,1648428659999,73256.63946,254,27546.9,23702.74759,0
1648428660000,0.8607,0.8614,0.8606,0.8614,70716.9,1648428719999,60889.51617,130,58935.1,50743.01611,0
1648428720000,0.8614,0.8622,0.8613,0.8621,27138.2,1648428779999,23389.08879,115,15865.0,13672.74812,0
1648428780000,0.8621,0.8621,0.8615,0.8616,8613.6,1648428839999,7423.46833,46,3048.4,2627.07086,0
1648428840000,0.8617,0.8619,0.8615,0.8616,11952.3,1648428899999,10299.31306,45,6113.2,5268.25734,0
1648428900000,0.8615,0.8615,0.8596,0.8596,41887.4,1648428959999,36045.36645,201,300.9,259.10619,0
1648428960000,0.8596,0.8602,0.8596,0.8602,11234.7,1648429019999,9658.91537,40,10927.2,9394.51937,0
1648429020000,0.8603,0.8611,0.8603,0.8608,34394.3,1648429079999,29602.88492,221,26710.1,22988.91615,0
1648429080000,0.8608,0.8616,0.8607,0.8616,36295.5,1648429139999,31260.51166,143,25301.1,21790.88558,0
1648429140000,0.8617,0.8625,0.8617,0.8622,23889.7,1648429199999,20594.18866,128,16646.2,14349.68475,0
1648429200000,0.8622,0.8624,0.8610,0.8610,33466.2,1648429259999,28843.61996,141,10891.8,9392.17880,0
1648429260000,0.8609,0.8616,0.8609,0.8616,19124.7,1648429319999,16468.10495,66,10326.3,8892.51619,0
1648429320000,0.8616,0.8619,0.8613,0.8619,77740.0,1648429379999,66975.21907,106,64601.0,55656.68252,0
1648429380000,0.8618,0.8623,0.8618,0.8621,16130.3,1648429439999,13906.51976,53,9908.8,8542.35300,0
1648429440000,0.8622,0.8636,0.8622,0.8634,37706.7,1648429499999,32544.97131,212,31840.1,27480.82221,0
1648429500000,0.8635,0.8639,0.8634,0.8638,7112.8,1648429559999,6142.23577,36,3559.0,3073.87097,0
1648429560000,0.8639,0.8645,0.8639,0.8645,12731.7,1648429619999,11001.12177,107,12490.3,10792.53960,0
1648429620000,0.8645,0.8645,0.8643,0.8643,17356.8,1648429679999,15002.02063,32,10232.8,8844.42082,0
1648429680000,0.8644,0.8646,0.8644,0.8645,11240.9,1648429739999,9717.66406,25,11190.0,9673.66101,0
1648429740000,0.8645,0.8648,0.8643,0.8648,19142.2,1648429799999,16548.77029,75,11029.9,9536.60376,0
1648429800000,0.8647,0.8667,0.8646,0.8667,60944.6,1648429859999,52741.73688,292,45753.7,39606.88662,0
1648429860000,0.8666,0.8666,0.8649,0.8649,24486.5,1648429919999,21196.01060,123,2000.0,1730.20000,0
1648429920000,0.8648,0.8651,0.8647,0.8651,13826.1,1648429979999,11958.29942,50,6915.2,5981.80954,0
1648429980000,0.8652,0.8660,0.8652,0.8660,17717.3,1648430039999,15336.26702,83,17717.3,15336.26702,0
1648430040000,0.8659,0.8659,0.8655,0.8655,22966.5,1648430099999,19880.40679,60,5059.2,4378.81112,0
1648430100000,0.8655,0.8664,0.8655,0.8662,15641.7,1648430159999,13547.45203,98,9123.1,7900.90536,0
1648430160000,0.8663,0.8667,0.8663,0.8664,19606.4,1648430219999,16987.61411,58,17098.8,14814.90310,0
1648430220000,0.8663,0.8663,0.8654,0.8654,15111.6,1648430279999,13085.77095,78,1153.6,998.82354,0
1648430280000,0.8653,0.8653,0.8645,0.8652,74858.9,1648430339999,64734.91885,170,13588.8,11752.35716,0
1648430340000,0.8652,0.8658,0.8649,0.8658,20622.3,1648430399999,17842.09991,78,13418.2,11610.47210,0
1648430400000,0.8658,0.8660,0.8657,0.8658,9983.7,1648430459999,8645.00278,42,6887.0,5963.87993,0
1648430460000,0.8659,0.8664,0.8659,0.8663,38101.2,1648430519999,33007.29084,68,31651.9,27420.26125,0
1648430520000,0.8663,0.8664,0.8657,0.8658,29153.2,1648430579999,25249.92595,57,17575.9,15224.59589,0
1648430580000,0.8658,0.8665,0.8657,0.8665,5821.6,1648430639999,5042.85032,42,5727.1,4961.04167,0
1648430640000,0.8665,0.8668,0.8665,0.8666,5481.9,1648430699999,4750.65517,35,4608.6,3993.84839,0
1648430700000,0.8665,0.8673,0.8663,0.8667,17530.6,1648430759999,15196.43587,121,12459.1,10801.44329,0
1648430760000,0.8667,0.8667,0.8663,0.8663,9579.8,1648430819999,8300.87000,40,3516.9,3047.39385,0
1648430820000,0.8662,0.8662,0.8656,0.8656,14955.2,1648430879999,12950.91908,91,503.0,435.64830,0
1648430880000,0.8656,0.8658,0.8655,0.8656,8150.9,1648430939999,7055.73549,44,2977.1,2577.21630,0
