open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648598400000,0.7292,0.7330,0.7286,0.7299,237901.0,1648598459999,173789.83134,669,141031.3,103047.54165,0
1648598460000,0.7300,0.7302,0.7226,0.7226,150961.0,1648598519999,109493.43754,529,28098.9,20371.17917,0
1648598520000,0.7228,0.7244,0.7218,0.7232,141584.1,1648598579999,102390.45856,420,59746.8,43213.85176,0
1648598580000,0.7233,0.7258,0.7233,0.7248,62787.6,1648598639999,45510.08968,238,49368.3,35782.24656,0
1648598640000,0.7250,0.7260,0.7243,0.7248,28976.0,1648598699999,21011.20679,137,7099.9,5149.04293,0
1648598700000,0.7248,0.7251,0.7217,0.7221,39942.2,1648598759999,28868.51355,198,8429.0,6091.92605,0
1648598760000,0.7220,0.7236,0.7215,0.7221,35485.2,1648598819999,25620.27913,159,13026.3,9409.95347,0
1648598820000,0.7222,0.7229,0.7217,0.7224,63901.8,1648598879999,46149.91105,136,16498.9,11918.31230,0
1648598880000,0.7223,0.7241,0.7221,0.7241,25594.3,1648598939999,18508.71710,90,11656.0,8430.87168,0
1648598940000,0.7242,0.7257,0.7242,0.7249,49104.0,1648598999999,35598.03010,134,37896.2,27472.48237,0
1648599000000,0.7253,0.7265,0.7248,0.7256,40146.6,1648599059999,29131.55872,91,11859.3,8604.89950,0
1648599060000,0.7258,0.7267,0.7257,0.7259,23575.4,1648599119999,17121.15662,90,8985.1,6525.61516,0
1648599120000,0.7258,0.7270,0.7256,0.7262,24049.3,1648599179999,17464.41364,94,13476.0,9786.62408,0
1648599180000,0.7262,0.7263,0.7240,0.7256,26178.7,1648599239999,18973.64703,105,15202.9,11018.66215,0
1648599240000,0.7256,0.7287,0.7250,0.7283,36716.7,1648599299999,26671.99874,106,23671.3,17200.81761,0
1648599300000,0.7282,0.7310,0.7281,0.7292,47240.5,1648599359999,34480.96736,208,31324.0,22866.18827,0
1648599360000,0.7289,0.7289,0.7259,0.7270,72768.8,1648599419999,52914.59524,240,28100.9,20426.91509,0
1648599420000,0.7271,0.7304,0.7259,0.7287,42063.0,1648599479999,30613.39292,146,27800.9,20243.63846,0
